幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.06000,31.41000,31.39400,31.34700,31.28300,31.22200,31.15600,31.10000,31.04800,本行賣出,31.73000,31.51000,31.49800,31.45500,31.39900,31.34600,31.28700,31.23900,31.19200,
HKD,本行買入,3.85800,3.98400,3.98300,3.98100,3.97900,3.97700,3.97300,3.96900,3.96500,本行賣出,4.06200,4.04400,4.04400,4.04400,4.04200,4.04000,4.03700,4.03500,4.03200,
GBP,本行買入,41.42000,42.43000,42.39100,42.31300,42.22500,42.13500,42.03400,41.93400,41.83300,本行賣出,43.54000,42.83000,42.80400,42.75300,42.66600,42.57700,42.48900,42.40200,42.31400,
AUD,本行買入,22.18000,22.47000,22.44800,22.40300,22.35000,22.29600,22.23900,22.18200,22.12300,本行賣出,22.96000,22.67000,22.65400,22.62100,22.56800,22.51400,22.46400,22.41400,22.36200,
CAD,本行買入,22.58000,22.98000,22.97000,22.95000,22.93500,22.92000,22.90000,22.88000,22.86000,本行賣出,23.49000,23.18000,23.17600,23.16700,23.15300,23.13800,23.12600,23.11400,23.10200,
SGD,本行買入,24.13000,24.62000,24.61500,24.60400,24.60400,24.60600,24.60900,24.61100,24.61400,本行賣出,25.04000,24.80000,24.80600,24.81700,24.81800,24.82100,24.83100,24.84000,24.85000,
CHF,本行買入,39.27000,39.95000,39.95900,39.97800,40.02500,40.07800,40.12900,40.18100,40.23400,本行賣出,40.47000,40.20000,40.22500,40.27600,40.32500,40.37900,40.44300,40.50700,40.57100,
JPY,本行買入,0.18830,0.19560,0.19560,0.19560,0.19570,0.19580,0.19590,0.19600,0.19610,本行賣出,0.20110,0.19960,0.19970,0.19980,0.20000,0.20010,0.20030,0.20050,0.20070,
ZAR,本行買入,0.00000,1.86600,1.86300,1.85600,1.84800,1.84000,1.83200,1.82300,1.81500,本行賣出,0.00000,1.94600,1.94400,1.93900,1.93100,1.92300,1.91600,1.90800,1.90000,
SEK,本行買入,0.00000,3.37000,3.36900,3.36600,3.36400,3.36200,3.36000,3.35700,3.35500,本行賣出,0.00000,3.47000,3.47000,3.47000,3.46800,3.46700,3.46600,3.46500,3.46400,
NZD,本行買入,18.08000,18.46000,18.44900,18.42800,18.41100,18.39400,18.37400,18.35500,18.33500,本行賣出,18.93000,18.66000,18.65700,18.65000,18.63300,18.61600,18.60300,18.58900,18.57600,
THB,本行買入,0.84580,0.95920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03580,0.99920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.13000,36.75000,36.74100,36.72200,36.69900,36.67900,36.64800,36.61700,36.56900,本行賣出,37.47000,37.15000,37.14900,37.14700,37.12900,37.11300,37.09800,37.08300,37.06900,
KRW,本行買入,0.01967,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.93100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.45600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.51200,4.58400,4.58390,4.58360,4.58490,4.58640,4.58710,4.58800,4.58840,本行賣出,4.67400,4.63400,4.63470,4.63620,4.63730,4.63820,4.64000,4.64190,4.64370,
