幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.90000,32.25000,32.23600,32.19000,32.12900,32.07400,32.01700,31.95600,31.90100,本行賣出,32.57000,32.35000,32.34000,32.29900,32.24400,32.19700,32.14600,32.09300,32.04300,
HKD,本行買入,3.96100,4.08700,4.08500,4.08200,4.07800,4.07500,4.06900,4.06300,4.05700,本行賣出,4.16500,4.14700,4.14700,4.14600,4.14200,4.13900,4.13400,4.13000,4.12500,
GBP,本行買入,42.24000,43.25000,43.21400,43.14300,43.05900,42.97900,42.88300,42.78700,42.69100,本行賣出,44.36000,43.65000,43.63000,43.58900,43.50900,43.43000,43.35100,43.27200,43.19200,
AUD,本行買入,22.33000,22.62000,22.59500,22.54500,22.49000,22.43800,22.37700,22.31900,22.26000,本行賣出,23.11000,22.82000,22.80700,22.78100,22.72900,22.67700,22.62400,22.57400,22.52400,
CAD,本行買入,22.53000,22.93000,22.92200,22.90500,22.89300,22.88200,22.86500,22.84800,22.83100,本行賣出,23.44000,23.13000,23.13000,23.12900,23.11900,23.10800,23.10000,23.09100,23.08200,
SGD,本行買入,24.62000,25.11000,25.10800,25.10400,25.10800,25.11500,25.11700,25.11800,25.11900,本行賣出,25.53000,25.29000,25.29700,25.31000,25.31900,25.32600,25.33600,25.34700,25.35700,
CHF,本行買入,38.98000,39.66000,39.67100,39.69300,39.75200,39.81100,39.86600,39.92100,39.97700,本行賣出,40.18000,39.91000,39.93800,39.99300,40.05800,40.11800,40.18800,40.25800,40.32800,
JPY,本行買入,0.19460,0.20190,0.20190,0.20190,0.20200,0.20210,0.20220,0.20230,0.20240,本行賣出,0.20740,0.20590,0.20600,0.20620,0.20630,0.20640,0.20660,0.20680,0.20690,
ZAR,本行買入,0.00000,1.94000,1.93700,1.93000,1.92200,1.91300,1.90400,1.89500,1.88600,本行賣出,0.00000,2.02000,2.01800,2.01300,2.00500,1.99600,1.98800,1.98000,1.97200,
SEK,本行買入,0.00000,3.35000,3.34900,3.34700,3.34700,3.34600,3.34400,3.34200,3.34000,本行賣出,0.00000,3.45000,3.45000,3.45100,3.45000,3.45000,3.45000,3.44900,3.44900,
NZD,本行買入,18.48000,18.86000,18.85000,18.82900,18.80700,18.78700,18.75900,18.73200,18.70400,本行賣出,19.33000,19.06000,19.05800,19.05500,19.03500,19.01500,18.99500,18.97400,18.95400,
THB,本行買入,0.84780,0.96120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03780,1.00120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.40000,37.02000,37.00900,36.98700,36.95900,36.93600,36.90800,36.88100,36.83600,本行賣出,37.74000,37.42000,37.41700,37.41200,37.39000,37.37300,37.35700,37.34100,37.32500,
KRW,本行買入,0.02103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.87300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.39800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.69000,4.76200,4.76200,4.76200,4.76420,4.76610,4.76800,4.77060,4.77200,本行賣出,4.85200,4.81200,4.81280,4.81440,4.81600,4.81760,4.82010,4.82270,4.82530,
