幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.61000,32.96000,32.93700,32.87500,32.77700,32.69800,32.60800,32.51800,32.43500,本行賣出,33.28000,33.06000,33.04300,32.99100,32.90700,32.83500,32.75600,32.68000,32.61000,
HKD,本行買入,4.09100,4.21700,4.21300,4.20600,4.19800,4.19000,4.18100,4.17200,4.16300,本行賣出,4.29500,4.27700,4.27400,4.26900,4.26100,4.25300,4.24500,4.23700,4.22900,
GBP,本行買入,41.63000,42.64000,42.59400,42.50200,42.40300,42.30200,42.19600,42.09100,41.98600,本行賣出,43.75000,43.04000,43.00800,42.94300,42.84600,42.74800,42.65500,42.56200,42.46800,
AUD,本行買入,20.48000,20.77000,20.75000,20.70900,20.66600,20.62100,20.57300,20.52600,20.47800,本行賣出,21.26000,20.97000,20.95600,20.92800,20.88600,20.84000,20.79800,20.75700,20.71500,
CAD,本行買入,22.52000,22.92000,22.90700,22.88000,22.85900,22.83400,22.80700,22.78000,22.75300,本行賣出,23.43000,23.12000,23.11200,23.09500,23.07500,23.05100,23.03100,23.01000,22.98900,
SGD,本行買入,24.20000,24.69000,24.67600,24.64800,24.62500,24.60200,24.57300,24.54400,24.51500,本行賣出,25.11000,24.87000,24.86300,24.85000,24.82900,24.80400,24.78300,24.76200,24.74200,
CHF,本行買入,36.82000,37.50000,37.50200,37.50700,37.55900,37.59400,37.62900,37.66400,37.69900,本行賣出,38.02000,37.75000,37.76700,37.80100,37.85400,37.88900,37.93600,37.98300,38.03000,
JPY,本行買入,0.21290,0.22020,0.22020,0.22030,0.22050,0.22070,0.22090,0.22100,0.22110,本行賣出,0.22570,0.22420,0.22430,0.22450,0.22480,0.22500,0.22530,0.22550,0.22580,
ZAR,本行買入,0.00000,1.77700,1.77400,1.76700,1.75800,1.74900,1.74100,1.73200,1.72300,本行賣出,0.00000,1.85700,1.85400,1.84900,1.84000,1.83100,1.82300,1.81500,1.80600,
SEK,本行買入,0.00000,3.22000,3.21900,3.21600,3.21500,3.21300,3.21000,3.20800,3.20600,本行賣出,0.00000,3.32000,3.32000,3.31900,3.31800,3.31600,3.31500,3.31300,3.31200,
NZD,本行買入,18.58000,18.96000,18.94300,18.90800,18.87800,18.84500,18.81300,18.78000,18.74700,本行賣出,19.43000,19.16000,19.15000,19.12900,19.10000,19.06800,19.04000,19.01300,18.98500,
THB,本行買入,0.85180,0.96520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04180,1.00520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.51100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.64300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.11000,35.73000,35.71600,35.68800,35.65100,35.62800,35.60000,35.57200,35.52600,本行賣出,36.45000,36.13000,36.12200,36.10500,36.07300,36.05900,36.04300,36.02700,36.01100,
KRW,本行買入,0.02083,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.43900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.96400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.46100,4.53300,4.53220,4.53050,4.52710,4.52580,4.52410,4.52160,4.52070,本行賣出,4.62300,4.58300,4.58310,4.58320,4.58130,4.58020,4.57960,4.57890,4.57830,
