幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.30500,29.65500,29.63600,29.57100,29.50200,29.42200,29.35700,29.28200,29.21500,本行賣出,29.97500,29.75500,29.74000,29.68300,29.62200,29.55100,29.49700,29.43200,29.37300,
HKD,本行買入,3.62800,3.75400,3.75400,3.75500,3.75400,3.75200,3.74700,3.74200,3.73700,本行賣出,3.83200,3.81400,3.81600,3.81900,3.81900,3.81700,3.81400,3.81000,3.80700,
GBP,本行買入,38.51000,39.52000,39.47700,39.39100,39.30100,39.21400,39.11900,39.02300,38.92800,本行賣出,40.63000,39.92000,39.89800,39.85300,39.77000,39.68500,39.60500,39.52500,39.44400,
AUD,本行買入,18.93000,19.22000,19.20200,19.16700,19.13200,19.09900,19.06400,19.02800,18.99200,本行賣出,19.71000,19.42000,19.41300,19.39800,19.36600,19.33400,19.30600,19.27700,19.24800,
CAD,本行買入,21.08000,21.48000,21.46800,21.44500,21.42200,21.40300,21.38000,21.35700,21.33400,本行賣出,21.99000,21.68000,21.67900,21.67600,21.65700,21.64000,21.62500,21.60900,21.59400,
SGD,本行買入,22.50000,22.99000,22.98200,22.96500,22.95500,22.94600,22.93400,22.92300,22.91100,本行賣出,23.41000,23.17000,23.17400,23.18300,23.17700,23.17000,23.16700,23.16300,23.16000,
CHF,本行買入,36.10000,36.78000,36.78900,36.80600,36.84600,36.89300,36.93800,36.98300,37.02800,本行賣出,37.30000,37.03000,37.05900,37.11700,37.16400,37.21300,37.27200,37.33100,37.39000,
JPY,本行買入,0.19140,0.19870,0.19870,0.19880,0.19890,0.19910,0.19920,0.19940,0.19950,本行賣出,0.20420,0.20270,0.20280,0.20300,0.20320,0.20340,0.20370,0.20390,0.20420,
ZAR,本行買入,0.00000,1.62300,1.62000,1.61300,1.60600,1.59900,1.59100,1.58300,1.57500,本行賣出,0.00000,1.70300,1.70100,1.69600,1.68900,1.68200,1.67400,1.66700,1.66000,
SEK,本行買入,0.00000,3.03000,3.02900,3.02600,3.02400,3.02300,3.02100,3.02000,3.01800,本行賣出,0.00000,3.13000,3.13000,3.13100,3.13000,3.12900,3.12900,3.12800,3.12800,
NZD,本行買入,17.22000,17.60000,17.58600,17.55700,17.53000,17.50600,17.47800,17.44900,17.42100,本行賣出,18.07000,17.80000,17.79600,17.78900,17.76600,17.74200,17.72100,17.69900,17.67700,
THB,本行買入,0.78740,0.90080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.97740,0.94080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.51000,34.13000,34.12000,34.10000,34.08400,34.06700,34.04900,34.03100,34.00000,本行賣出,34.85000,34.53000,34.53000,34.53100,34.51900,34.50600,34.50200,34.49700,34.49300,
KRW,本行買入,0.01975,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02365,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.98200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.50700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.03800,4.11000,4.10910,4.10720,4.10940,4.10700,4.10570,4.10400,4.10310,本行賣出,4.20000,4.16000,4.16020,4.16050,4.16370,4.16010,4.16040,4.16060,4.16090,
