幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.66500,33.01500,32.98900,32.92000,32.83700,32.74200,32.65900,32.57400,32.49000,本行賣出,33.33500,33.11500,33.09400,33.03500,32.96200,32.88000,32.81000,32.73400,32.65800,
HKD,本行買入,4.08900,4.21500,4.21100,4.20300,4.19400,4.18400,4.17500,4.16600,4.15600,本行賣出,4.29300,4.27500,4.27200,4.26700,4.25900,4.24900,4.24100,4.23300,4.22600,
GBP,本行買入,39.24000,40.25000,40.20100,40.10200,39.99600,39.86500,39.75500,39.64500,39.53500,本行賣出,41.36000,40.65000,40.62000,40.56000,40.45800,40.33100,40.23200,40.13200,40.03300,
AUD,本行買入,20.12000,20.41000,20.38700,20.34100,20.29300,20.23500,20.18800,20.14000,20.09300,本行賣出,20.90000,20.61000,20.59800,20.57300,20.52600,20.46800,20.42800,20.38700,20.34700,
CAD,本行買入,22.57000,22.97000,22.95600,22.92700,22.89700,22.85700,22.82700,22.79700,22.76800,本行賣出,23.48000,23.17000,23.16200,23.14700,23.11800,23.07800,23.05600,23.03400,23.01200,
SGD,本行買入,23.62000,24.11000,24.09400,24.06300,24.03300,23.99700,23.96900,23.94100,23.91200,本行賣出,24.53000,24.29000,24.28500,24.27400,24.24600,24.20900,24.18900,24.16900,24.14900,
CHF,本行買入,35.46000,36.14000,36.14100,36.14400,36.17100,36.19100,36.22500,36.26000,36.29600,本行賣出,36.66000,36.39000,36.41000,36.44900,36.47800,36.51100,36.56300,36.61600,36.66800,
JPY,本行買入,0.20150,0.20880,0.20890,0.20900,0.20910,0.20920,0.20940,0.20950,0.20970,本行賣出,0.21430,0.21280,0.21290,0.21320,0.21340,0.21360,0.21380,0.21400,0.21430,
ZAR,本行買入,0.00000,1.71200,1.70800,1.70100,1.69200,1.68300,1.67400,1.66500,1.65600,本行賣出,0.00000,1.79200,1.78900,1.78400,1.77500,1.76600,1.75700,1.74900,1.74100,
SEK,本行買入,0.00000,2.92000,2.91800,2.91500,2.91300,2.90900,2.90600,2.90400,2.90100,本行賣出,0.00000,3.02000,3.02000,3.01900,3.01700,3.01400,3.01200,3.01100,3.00900,
NZD,本行買入,18.10000,18.48000,18.45900,18.41800,18.38200,18.33900,18.30600,18.27300,18.24000,本行賣出,18.95000,18.68000,18.67100,18.65200,18.61400,18.57100,18.54500,18.51800,18.49200,
THB,本行買入,0.82350,0.93690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01350,0.97690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.26000,33.88000,33.86100,33.82200,33.78000,33.74500,33.70900,33.67300,33.61200,本行賣出,34.60000,34.28000,34.26800,34.24400,34.20900,34.18600,34.16500,34.14500,34.12400,
KRW,本行買入,0.02091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00108,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00149,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.31800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.84300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.40400,4.47600,4.47320,4.46770,4.45900,4.45260,4.44770,4.44030,4.43770,本行賣出,4.56600,4.52600,4.52450,4.52160,4.51530,4.51030,4.50670,4.50300,4.49940,
