幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.76000,31.11000,31.09200,31.03800,30.96300,30.88900,30.83400,30.76700,30.70600,本行賣出,31.43000,31.21000,31.19600,31.14800,31.08300,31.01600,30.97000,30.90900,30.85700,
HKD,本行買入,3.85300,3.97900,3.97700,3.97200,3.96300,3.95800,3.95200,3.94600,3.94000,本行賣出,4.05700,4.03900,4.03700,4.03400,4.02700,4.02100,4.01600,4.01200,4.00700,
GBP,本行買入,39.87000,40.88000,40.84700,40.78200,40.69200,40.61000,40.53000,40.44900,40.36900,本行賣出,41.99000,41.28000,41.25800,41.21500,41.12700,41.04800,40.98000,40.91200,40.84500,
AUD,本行買入,19.97000,20.26000,20.24600,20.21700,20.17900,20.14200,20.10500,20.06900,20.03000,本行賣出,20.75000,20.46000,20.45100,20.43300,20.39600,20.36100,20.33100,20.29900,20.26900,
CAD,本行買入,21.73000,22.13000,22.12300,22.10900,22.09900,22.08600,22.07100,22.05500,22.04000,本行賣出,22.64000,22.33000,22.32900,22.32700,22.31700,22.30400,22.29800,22.29100,22.28400,
SGD,本行買入,23.38000,23.87000,23.86800,23.86300,23.86500,23.86800,23.86800,23.86800,23.86800,本行賣出,24.29000,24.05000,24.05600,24.06800,24.07300,24.07700,24.08500,24.09200,24.09900,
CHF,本行買入,38.46000,39.14000,39.15100,39.17200,39.23500,39.28600,39.33200,39.38000,39.42700,本行賣出,39.66000,39.39000,39.41600,39.46700,39.53200,39.58600,39.64600,39.70600,39.76600,
JPY,本行買入,0.19210,0.19940,0.19940,0.19950,0.19970,0.19970,0.19990,0.20000,0.20010,本行賣出,0.20490,0.20340,0.20350,0.20370,0.20390,0.20400,0.20420,0.20440,0.20470,
ZAR,本行買入,0.00000,1.78700,1.78400,1.77800,1.77000,1.76300,1.75600,1.74800,1.74100,本行賣出,0.00000,1.86700,1.86500,1.86100,1.85300,1.84600,1.83900,1.83200,1.82600,
SEK,本行買入,0.00000,3.26000,3.25900,3.25700,3.25600,3.25500,3.25300,3.25100,3.24900,本行賣出,0.00000,3.36000,3.36000,3.36100,3.36100,3.36000,3.35900,3.35900,3.35800,
NZD,本行買入,17.25000,17.63000,17.62200,17.60500,17.59200,17.57900,17.56500,17.55100,17.53600,本行賣出,18.10000,17.83000,17.82900,17.82600,17.81500,17.80300,17.79400,17.78500,17.77700,
THB,本行買入,0.83310,0.94650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02310,0.98650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.37000,35.99000,35.98100,35.96200,35.94300,35.91600,35.89700,35.87700,35.84400,本行賣出,36.71000,36.39000,36.38900,36.38600,36.37400,36.35100,36.34400,36.33700,36.33000,
KRW,本行買入,0.01962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02352,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.48200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.00700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.28700,4.35900,4.35820,4.35650,4.35510,4.35420,4.35240,4.35010,4.34900,本行賣出,4.44900,4.40900,4.40920,4.40970,4.40860,4.40770,4.40730,4.40700,4.40660,
