幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.63500,32.98500,32.96200,32.88700,32.80200,32.71700,32.63000,32.55400,32.47200,本行賣出,33.30500,33.08500,33.06800,33.00000,32.92600,32.85400,32.78000,32.71400,32.64300,
HKD,本行買入,4.09300,4.21900,4.21500,4.20800,4.20000,4.19200,4.18300,4.17400,4.16500,本行賣出,4.29700,4.27900,4.27600,4.27100,4.26300,4.25500,4.24700,4.23900,4.23100,
GBP,本行買入,41.60000,42.61000,42.56400,42.47200,42.37300,42.27200,42.16600,42.06100,41.95600,本行賣出,43.72000,43.01000,42.97800,42.91300,42.81600,42.71800,42.62500,42.53200,42.43800,
AUD,本行買入,20.39000,20.68000,20.66000,20.61900,20.57600,20.53100,20.48300,20.43600,20.38800,本行賣出,21.17000,20.88000,20.86600,20.83800,20.79600,20.75000,20.70800,20.66700,20.62500,
CAD,本行買入,22.55000,22.95000,22.93700,22.91000,22.88900,22.86400,22.83700,22.81000,22.78300,本行賣出,23.46000,23.15000,23.14200,23.12500,23.10500,23.08100,23.06100,23.04000,23.01900,
SGD,本行買入,24.12000,24.61000,24.59600,24.56800,24.54500,24.52200,24.49300,24.46400,24.43500,本行賣出,25.03000,24.79000,24.78300,24.77000,24.74900,24.72400,24.70300,24.68200,24.66200,
CHF,本行買入,36.63000,37.31000,37.31200,37.31700,37.36900,37.40400,37.43900,37.47400,37.50900,本行賣出,37.83000,37.56000,37.57700,37.61100,37.66400,37.69900,37.74600,37.79300,37.84000,
JPY,本行買入,0.21150,0.21880,0.21880,0.21890,0.21910,0.21930,0.21940,0.21950,0.21970,本行賣出,0.22430,0.22280,0.22290,0.22310,0.22340,0.22360,0.22380,0.22410,0.22430,
ZAR,本行買入,0.00000,1.77700,1.77400,1.76700,1.75800,1.74900,1.74100,1.73200,1.72300,本行賣出,0.00000,1.85700,1.85400,1.84900,1.84000,1.83100,1.82300,1.81500,1.80600,
SEK,本行買入,0.00000,3.23000,3.22900,3.22600,3.22500,3.22300,3.22000,3.21800,3.21600,本行賣出,0.00000,3.33000,3.33000,3.32900,3.32800,3.32600,3.32500,3.32300,3.32200,
NZD,本行買入,18.47000,18.85000,18.83300,18.79800,18.76800,18.73500,18.70300,18.67000,18.63700,本行賣出,19.32000,19.05000,19.04000,19.01900,18.99000,18.95800,18.93000,18.90300,18.87500,
THB,本行買入,0.84630,0.95970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03630,0.99970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.51040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.64240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00163,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.01000,35.63000,35.61500,35.58600,35.55400,35.52900,35.50100,35.47200,35.42400,本行賣出,36.35000,36.03000,36.02200,36.00500,35.97700,35.96000,35.94600,35.93100,35.91600,
KRW,本行買入,0.02080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.42200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.94700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.45500,4.52700,4.52580,4.52340,4.52110,4.51900,4.51610,4.51230,4.51030,本行賣出,4.61700,4.57700,4.57670,4.57610,4.57410,4.57240,4.57150,4.57050,4.56960,
