幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.03000,31.38000,31.36200,31.30300,31.23800,31.17600,31.10300,31.04300,30.97800,本行賣出,31.70000,31.48000,31.46600,31.41300,31.35600,31.30000,31.23300,31.18300,31.12600,
HKD,本行買入,3.87900,4.00500,4.00300,3.99800,3.99300,3.98800,3.98200,3.97600,3.96900,本行賣出,4.08300,4.06500,4.06300,4.06000,4.05500,4.05100,4.04600,4.04100,4.03600,
GBP,本行買入,40.35000,41.36000,41.32200,41.24500,41.15700,41.07600,40.98600,40.89600,40.80600,本行賣出,42.47000,41.76000,41.73800,41.69300,41.60500,41.52700,41.45100,41.37500,41.29900,
AUD,本行買入,20.19000,20.48000,20.46200,20.42600,20.38400,20.34600,20.30200,20.25700,20.21100,本行賣出,20.97000,20.68000,20.67200,20.65500,20.61500,20.57700,20.54100,20.50200,20.46400,
CAD,本行買入,21.98000,22.38000,22.37400,22.36100,22.34500,22.33000,22.31000,22.28900,22.26900,本行賣出,22.89000,22.58000,22.57800,22.57500,22.56100,22.54600,22.53400,22.52300,22.51100,
SGD,本行買入,23.68000,24.17000,24.16600,24.15900,24.15900,24.16000,24.15300,24.14700,24.14100,本行賣出,24.59000,24.35000,24.35500,24.36500,24.36800,24.36800,24.37200,24.37500,24.37900,
CHF,本行買入,38.29000,38.97000,38.99000,39.02900,39.06600,39.10800,39.14700,39.18800,39.22800,本行賣出,39.49000,39.22000,39.24900,39.30600,39.34400,39.38700,39.44300,39.49900,39.55600,
JPY,本行買入,0.19300,0.20030,0.20040,0.20050,0.20060,0.20060,0.20070,0.20080,0.20090,本行賣出,0.20580,0.20430,0.20440,0.20470,0.20480,0.20490,0.20510,0.20530,0.20540,
ZAR,本行買入,0.00000,1.79600,1.79300,1.78700,1.77800,1.77100,1.76300,1.75500,1.74700,本行賣出,0.00000,1.87600,1.87400,1.86900,1.86100,1.85400,1.84600,1.83900,1.83100,
SEK,本行買入,0.00000,3.28000,3.27900,3.27700,3.27600,3.27400,3.27200,3.27000,3.26700,本行賣出,0.00000,3.38000,3.38000,3.38100,3.38000,3.37900,3.37800,3.37700,3.37500,
NZD,本行買入,17.55000,17.93000,17.92100,17.90400,17.88600,17.87100,17.85200,17.83300,17.81400,本行賣出,18.40000,18.13000,18.13000,18.12900,18.11200,18.09800,18.08500,18.07200,18.05900,
THB,本行買入,0.85470,0.96810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04470,1.00810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.66000,36.28000,36.27000,36.25000,36.22600,36.20600,36.18000,36.15400,36.11200,本行賣出,37.00000,36.68000,36.67900,36.67800,36.66100,36.64500,36.63400,36.62200,36.61000,
KRW,本行買入,0.01965,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.58300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.10800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.34900,4.42100,4.42020,4.41870,4.41760,4.41620,4.41400,4.41120,4.40970,本行賣出,4.51100,4.47100,4.47140,4.47210,4.47120,4.47020,4.46970,4.46920,4.46870,
