幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.58500,31.93500,31.91900,31.86300,31.80500,31.74200,31.67900,31.62600,31.57000,本行賣出,32.25500,32.03500,32.02300,31.97200,31.92100,31.86400,31.80800,31.76300,31.71100,
HKD,本行買入,3.92800,4.05400,4.05200,4.04900,4.04600,4.04300,4.03900,4.03500,4.03000,本行賣出,4.13200,4.11400,4.11300,4.11200,4.11000,4.10600,4.10400,4.10100,4.09800,
GBP,本行買入,41.17000,42.18000,42.14400,42.07200,42.00400,41.93100,41.85600,41.78200,41.70800,本行賣出,43.29000,42.58000,42.55700,42.51100,42.44600,42.37500,42.31300,42.25000,42.18700,
AUD,本行買入,22.05000,22.34000,22.32000,22.28000,22.23800,22.19000,22.14000,22.08700,22.03300,本行賣出,22.83000,22.54000,22.52600,22.49900,22.45900,22.41200,22.36800,22.32100,22.27300,
CAD,本行買入,22.84000,23.24000,23.23000,23.21100,23.20000,23.18600,23.17100,23.15600,23.14100,本行賣出,23.75000,23.44000,23.43800,23.43300,23.42400,23.41100,23.40300,23.39400,23.38600,
SGD,本行買入,24.38000,24.87000,24.86500,24.85500,24.86800,24.87100,24.87400,24.87700,24.88000,本行賣出,25.29000,25.05000,25.05500,25.06400,25.07800,25.08500,25.09500,25.10600,25.11600,
CHF,本行買入,39.61000,40.29000,40.30000,40.32100,40.39100,40.44100,40.49500,40.55000,40.60500,本行賣出,40.81000,40.54000,40.56200,40.60500,40.67700,40.73100,40.79800,40.86500,40.93200,
JPY,本行買入,0.19160,0.19890,0.19890,0.19890,0.19900,0.19920,0.19930,0.19940,0.19950,本行賣出,0.20440,0.20290,0.20300,0.20320,0.20340,0.20350,0.20370,0.20390,0.20410,
ZAR,本行買入,0.00000,1.85700,1.85400,1.84700,1.83900,1.83200,1.82400,1.81600,1.80800,本行賣出,0.00000,1.93700,1.93500,1.93000,1.92200,1.91500,1.90800,1.90100,1.89300,
SEK,本行買入,0.00000,3.34000,3.33900,3.33600,3.33500,3.33400,3.33300,3.33200,3.33100,本行賣出,0.00000,3.44000,3.44000,3.44000,3.44100,3.43900,3.43900,3.43900,3.43900,
NZD,本行買入,18.11000,18.49000,18.48100,18.46400,18.45400,18.43900,18.42300,18.40700,18.39000,本行賣出,18.96000,18.69000,18.68700,18.68000,18.67200,18.65800,18.64700,18.63600,18.62500,
THB,本行買入,0.85480,0.96820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04480,1.00820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.75000,36.37000,36.35900,36.33700,36.31900,36.30200,36.27700,36.25200,36.21300,本行賣出,37.09000,36.77000,36.76900,36.76800,36.75600,36.74400,36.73400,36.72300,36.71300,
KRW,本行買入,0.01962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02352,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.10400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.62900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.53500,4.60700,4.60680,4.60640,4.60630,4.60690,4.60720,4.60740,4.60770,本行賣出,4.69700,4.65700,4.65740,4.65830,4.65940,4.65960,4.66060,4.66170,4.66270,
