幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.09500,31.44500,31.42800,31.38000,31.31600,31.25800,31.19900,31.13800,31.08700,本行賣出,31.76500,31.54500,31.53200,31.48900,31.43200,31.38100,31.33000,31.27600,31.22900,
HKD,本行買入,3.88300,4.00900,4.00700,4.00400,3.99900,3.99400,3.98900,3.98400,3.98000,本行賣出,4.08700,4.06900,4.06800,4.06600,4.06300,4.05800,4.05400,4.05100,4.04700,
GBP,本行買入,41.80000,42.81000,42.77200,42.69500,42.60600,42.51200,42.42900,42.34700,42.26500,本行賣出,43.92000,43.21000,43.18800,43.14300,43.06700,42.97300,42.90100,42.83000,42.75800,
AUD,本行買入,21.37000,21.66000,21.64300,21.60800,21.56500,21.51800,21.47400,21.43000,21.38200,本行賣出,22.15000,21.86000,21.85000,21.83000,21.79200,21.74500,21.70800,21.66800,21.62500,
CAD,本行買入,22.51000,22.91000,22.90200,22.88600,22.86800,22.84800,22.83000,22.81200,22.79400,本行賣出,23.42000,23.11000,23.10700,23.10100,23.08800,23.07100,23.06000,23.04900,23.03800,
SGD,本行買入,24.22000,24.71000,24.70700,24.70000,24.69700,24.69600,24.69400,24.69200,24.69000,本行賣出,25.13000,24.89000,24.89300,24.89900,24.90000,24.90100,24.90800,24.91600,24.92300,
CHF,本行買入,39.64000,40.32000,40.32800,40.34400,40.38300,40.42900,40.47300,40.51700,40.56100,本行賣出,40.84000,40.57000,40.59400,40.64300,40.69200,40.74100,40.79800,40.85600,40.91300,
JPY,本行買入,0.19490,0.20220,0.20220,0.20220,0.20230,0.20250,0.20260,0.20260,0.20270,本行賣出,0.20770,0.20620,0.20630,0.20640,0.20660,0.20680,0.20690,0.20710,0.20730,
ZAR,本行買入,0.00000,1.92100,1.91800,1.91200,1.90500,1.89700,1.88800,1.88000,1.87200,本行賣出,0.00000,2.00100,1.99900,1.99400,1.98700,1.97900,1.97200,1.96400,1.95700,
SEK,本行買入,0.00000,3.48000,3.47900,3.47600,3.47500,3.47300,3.47100,3.46900,3.46700,本行賣出,0.00000,3.58000,3.58000,3.58000,3.58000,3.57800,3.57800,3.57700,3.57700,
NZD,本行買入,18.29000,18.67000,18.66100,18.64300,18.62400,18.60600,18.59000,18.57300,18.55700,本行賣出,19.14000,18.87000,18.86900,18.86800,18.85400,18.83600,18.82400,18.81200,18.80100,
THB,本行買入,0.88520,0.99860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07520,1.03860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.50000,37.12000,37.11000,37.09100,37.06900,37.05100,37.03100,37.01000,36.97700,本行賣出,37.84000,37.52000,37.51800,37.51500,37.49800,37.48700,37.47900,37.47100,37.46300,
KRW,本行買入,0.02010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.90300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.42800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.43100,4.50300,4.50210,4.50020,4.49930,4.49810,4.49700,4.49530,4.49460,本行賣出,4.59300,4.55300,4.55320,4.55350,4.55290,4.55230,4.55240,4.55260,4.55270,
