幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.92500,31.27500,31.25700,31.20100,31.13000,31.06700,31.00100,30.93500,30.87100,本行賣出,31.59500,31.37500,31.36100,31.30900,31.24700,31.19300,31.13400,31.07700,31.01700,
HKD,本行買入,3.86800,3.99400,3.99200,3.98700,3.98200,3.97700,3.97100,3.96500,3.95800,本行賣出,4.07200,4.05400,4.05200,4.04900,4.04400,4.04000,4.03500,4.03000,4.02500,
GBP,本行買入,40.58000,41.59000,41.55200,41.47500,41.38700,41.30600,41.21600,41.12600,41.03600,本行賣出,42.70000,41.99000,41.96800,41.92300,41.83500,41.75700,41.68100,41.60500,41.52900,
AUD,本行買入,20.33000,20.62000,20.60200,20.56600,20.52400,20.48600,20.44200,20.39700,20.35100,本行賣出,21.11000,20.82000,20.81200,20.79500,20.75500,20.71700,20.68100,20.64200,20.60400,
CAD,本行買入,21.94000,22.34000,22.33400,22.32100,22.30500,22.29000,22.27000,22.24900,22.22900,本行賣出,22.85000,22.54000,22.53800,22.53500,22.52100,22.50600,22.49400,22.48300,22.47100,
SGD,本行買入,23.60000,24.09000,24.08600,24.07900,24.07900,24.08000,24.07300,24.06700,24.06100,本行賣出,24.51000,24.27000,24.27500,24.28500,24.28800,24.28800,24.29200,24.29500,24.29900,
CHF,本行買入,38.31000,38.99000,39.01000,39.04900,39.08600,39.12800,39.16700,39.20800,39.24800,本行賣出,39.51000,39.24000,39.26900,39.32600,39.36400,39.40700,39.46300,39.51900,39.57600,
JPY,本行買入,0.19270,0.20000,0.20010,0.20020,0.20030,0.20030,0.20040,0.20050,0.20060,本行賣出,0.20550,0.20400,0.20410,0.20440,0.20450,0.20460,0.20480,0.20500,0.20510,
ZAR,本行買入,0.00000,1.79700,1.79400,1.78800,1.77900,1.77200,1.76400,1.75600,1.74800,本行賣出,0.00000,1.87700,1.87500,1.87000,1.86200,1.85500,1.84700,1.84000,1.83200,
SEK,本行買入,0.00000,3.29000,3.28900,3.28700,3.28600,3.28400,3.28200,3.28000,3.27700,本行賣出,0.00000,3.39000,3.39000,3.39100,3.39000,3.38900,3.38800,3.38700,3.38500,
NZD,本行買入,17.61000,17.99000,17.98100,17.96400,17.94600,17.93100,17.91200,17.89300,17.87400,本行賣出,18.46000,18.19000,18.19000,18.18900,18.17200,18.15800,18.14500,18.13200,18.11900,
THB,本行買入,0.84880,0.96220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03880,1.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.72000,36.34000,36.33000,36.31000,36.28600,36.26400,36.23400,36.20300,36.15600,本行賣出,37.06000,36.74000,36.73800,36.73300,36.71400,36.70100,36.68600,36.67100,36.65500,
KRW,本行買入,0.01957,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02347,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.59300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.11800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.33800,4.41000,4.40920,4.40760,4.40670,4.40520,4.40270,4.39940,4.39750,本行賣出,4.50000,4.46000,4.46010,4.46040,4.45980,4.45880,4.45810,4.45730,4.45650,
