幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.92000,31.27000,31.25200,31.19500,31.12600,31.06300,30.99100,30.93000,30.86500,本行賣出,31.59000,31.37000,31.35600,31.30300,31.24400,31.18800,31.12300,31.07100,31.01200,
HKD,本行買入,3.86700,3.99300,3.99100,3.98600,3.98100,3.97600,3.97000,3.96400,3.95700,本行賣出,4.07100,4.05300,4.05100,4.04800,4.04300,4.03900,4.03400,4.02900,4.02400,
GBP,本行買入,40.29000,41.30000,41.26200,41.18500,41.09700,41.01600,40.92600,40.83600,40.74600,本行賣出,42.41000,41.70000,41.67800,41.63300,41.54500,41.46700,41.39100,41.31500,41.23900,
AUD,本行買入,20.21000,20.50000,20.48200,20.44600,20.40400,20.36600,20.32200,20.27700,20.23100,本行賣出,20.99000,20.70000,20.69200,20.67500,20.63500,20.59700,20.56100,20.52200,20.48400,
CAD,本行買入,21.93000,22.33000,22.32400,22.31100,22.29500,22.28000,22.26000,22.23900,22.21900,本行賣出,22.84000,22.53000,22.52800,22.52500,22.51100,22.49600,22.48400,22.47300,22.46100,
SGD,本行買入,23.60000,24.09000,24.08600,24.07900,24.07900,24.08000,24.07300,24.06700,24.06100,本行賣出,24.51000,24.27000,24.27500,24.28500,24.28800,24.28800,24.29200,24.29500,24.29900,
CHF,本行買入,38.23000,38.91000,38.93000,38.96900,39.00600,39.04800,39.08700,39.12800,39.16800,本行賣出,39.43000,39.16000,39.18900,39.24600,39.28400,39.32700,39.38300,39.43900,39.49600,
JPY,本行買入,0.19190,0.19920,0.19930,0.19940,0.19950,0.19950,0.19960,0.19970,0.19980,本行賣出,0.20470,0.20320,0.20330,0.20360,0.20370,0.20380,0.20400,0.20420,0.20430,
ZAR,本行買入,0.00000,1.79400,1.79100,1.78500,1.77600,1.76900,1.76100,1.75300,1.74500,本行賣出,0.00000,1.87400,1.87200,1.86700,1.85900,1.85200,1.84400,1.83700,1.82900,
SEK,本行買入,0.00000,3.29000,3.28900,3.28700,3.28600,3.28400,3.28200,3.28000,3.27700,本行賣出,0.00000,3.39000,3.39000,3.39100,3.39000,3.38900,3.38800,3.38700,3.38500,
NZD,本行買入,17.52000,17.90000,17.89100,17.87400,17.85600,17.84100,17.82200,17.80300,17.78400,本行賣出,18.37000,18.10000,18.10000,18.09900,18.08200,18.06800,18.05500,18.04200,18.02900,
THB,本行買入,0.85340,0.96680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04340,1.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.65000,36.27000,36.26000,36.23900,36.21500,36.19200,36.16600,36.14000,36.09700,本行賣出,36.99000,36.67000,36.66800,36.66300,36.65000,36.63100,36.61700,36.60300,36.58800,
KRW,本行買入,0.01960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.56500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.09000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.33900,4.41100,4.41020,4.40850,4.40740,4.40590,4.40380,4.40110,4.39960,本行賣出,4.50100,4.46100,4.46110,4.46130,4.46110,4.45940,4.45880,4.45820,4.45760,
