幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.79000,31.14000,31.12200,31.06400,31.00000,30.93600,30.87100,30.80300,30.74000,本行賣出,31.46000,31.24000,31.22600,31.17100,31.11700,31.06200,31.00400,30.94600,30.88800,
HKD,本行買入,3.85200,3.97800,3.97600,3.97100,3.96600,3.96100,3.95500,3.94900,3.94200,本行賣出,4.05600,4.03800,4.03600,4.03300,4.02800,4.02400,4.01900,4.01400,4.00900,
GBP,本行買入,40.38000,41.39000,41.35200,41.27500,41.18700,41.10600,41.01600,40.92600,40.83600,本行賣出,42.50000,41.79000,41.76800,41.72300,41.63500,41.55700,41.48100,41.40500,41.32900,
AUD,本行買入,20.33000,20.62000,20.60200,20.56600,20.52400,20.48600,20.44200,20.39700,20.35100,本行賣出,21.11000,20.82000,20.81200,20.79500,20.75500,20.71700,20.68100,20.64200,20.60400,
CAD,本行買入,22.07000,22.47000,22.46400,22.45100,22.43500,22.42000,22.40000,22.37900,22.35900,本行賣出,22.98000,22.67000,22.66800,22.66500,22.65100,22.63600,22.62400,22.61300,22.60100,
SGD,本行買入,23.50000,23.99000,23.98600,23.97900,23.97900,23.98000,23.97300,23.96700,23.96100,本行賣出,24.41000,24.17000,24.17500,24.18500,24.18800,24.18800,24.19200,24.19500,24.19900,
CHF,本行買入,38.01000,38.69000,38.71000,38.74900,38.78600,38.82800,38.86700,38.90800,38.94800,本行賣出,39.21000,38.94000,38.96900,39.02600,39.06400,39.10700,39.16300,39.21900,39.27600,
JPY,本行買入,0.19150,0.19880,0.19880,0.19890,0.19900,0.19910,0.19920,0.19930,0.19930,本行賣出,0.20430,0.20280,0.20290,0.20310,0.20330,0.20340,0.20360,0.20370,0.20390,
ZAR,本行買入,0.00000,1.80000,1.79700,1.79100,1.78200,1.77500,1.76700,1.75900,1.75100,本行賣出,0.00000,1.88000,1.87800,1.87300,1.86500,1.85800,1.85000,1.84300,1.83500,
SEK,本行買入,0.00000,3.27000,3.26900,3.26700,3.26600,3.26400,3.26200,3.26000,3.25700,本行賣出,0.00000,3.37000,3.37000,3.37100,3.37000,3.36900,3.36800,3.36700,3.36500,
NZD,本行買入,17.55000,17.93000,17.92100,17.90400,17.88600,17.87100,17.85200,17.83300,17.81400,本行賣出,18.40000,18.13000,18.13000,18.12900,18.11200,18.09800,18.08500,18.07200,18.05900,
THB,本行買入,0.85080,0.96420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04080,1.00420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.55000,36.17000,36.15900,36.13700,36.11500,36.09400,36.06600,36.03900,35.99400,本行賣出,36.89000,36.57000,36.56800,36.56500,36.54700,36.53500,36.52200,36.50900,36.49600,
KRW,本行買入,0.01951,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02341,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.56200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.08700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.31500,4.38700,4.38610,4.38420,4.38350,4.38210,4.37970,4.37670,4.37500,本行賣出,4.47700,4.43700,4.43740,4.43830,4.43760,4.43680,4.43620,4.43560,4.43490,
