幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.00000,29.35000,29.33000,29.26500,29.18500,29.11200,29.03600,28.96500,28.89300,本行賣出,29.67000,29.45000,29.43600,29.38100,29.31500,29.25200,29.19200,29.12900,29.06800,
HKD,本行買入,3.58900,3.71500,3.71500,3.71600,3.71500,3.71300,3.70800,3.70300,3.69800,本行賣出,3.79300,3.77500,3.77700,3.78000,3.78000,3.77800,3.77500,3.77100,3.76800,
GBP,本行買入,38.31000,39.32000,39.27700,39.19100,39.10100,39.01400,38.91900,38.82300,38.72800,本行賣出,40.43000,39.72000,39.69800,39.65300,39.57000,39.48500,39.40500,39.32500,39.24400,
AUD,本行買入,18.76000,19.05000,19.03200,18.99700,18.96200,18.92900,18.89400,18.85800,18.82200,本行賣出,19.54000,19.25000,19.24300,19.22800,19.19600,19.16400,19.13600,19.10700,19.07800,
CAD,本行買入,20.92000,21.32000,21.30800,21.28500,21.26200,21.24300,21.22000,21.19700,21.17400,本行賣出,21.83000,21.52000,21.51900,21.51600,21.49700,21.48000,21.46500,21.44900,21.43400,
SGD,本行買入,22.33000,22.82000,22.81200,22.79500,22.78500,22.77600,22.76400,22.75300,22.74100,本行賣出,23.24000,23.00000,23.00400,23.01300,23.00700,23.00000,22.99700,22.99300,22.99000,
CHF,本行買入,35.84000,36.52000,36.52900,36.54600,36.58600,36.63300,36.67800,36.72300,36.76800,本行賣出,37.04000,36.77000,36.79900,36.85700,36.90400,36.95300,37.01200,37.07100,37.13000,
JPY,本行買入,0.18850,0.19580,0.19580,0.19590,0.19600,0.19620,0.19630,0.19640,0.19660,本行賣出,0.20130,0.19980,0.19990,0.20010,0.20030,0.20050,0.20080,0.20110,0.20130,
ZAR,本行買入,0.00000,1.62000,1.61700,1.61000,1.60300,1.59600,1.58800,1.58000,1.57200,本行賣出,0.00000,1.70000,1.69800,1.69300,1.68600,1.67900,1.67100,1.66400,1.65700,
SEK,本行買入,0.00000,2.99000,2.98900,2.98600,2.98400,2.98300,2.98100,2.98000,2.97800,本行賣出,0.00000,3.09000,3.09000,3.09100,3.09000,3.08900,3.08900,3.08800,3.08800,
NZD,本行買入,17.05000,17.43000,17.41600,17.38700,17.36000,17.33600,17.30800,17.27900,17.25100,本行賣出,17.90000,17.63000,17.62600,17.61900,17.59600,17.57200,17.55100,17.52900,17.50700,
THB,本行買入,0.77990,0.89330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.96990,0.93330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.39000,34.01000,33.99900,33.97800,33.95800,33.94500,33.92800,33.90900,33.87900,本行賣出,34.73000,34.41000,34.40900,34.40600,34.39400,34.38300,34.38000,34.37600,34.37200,
KRW,本行買入,0.01939,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02329,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.89900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.42400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,3.99600,4.06800,4.06710,4.06540,4.06490,4.06380,4.06230,4.06030,4.05940,本行賣出,4.15800,4.11800,4.11820,4.11870,4.11780,4.11660,4.11720,4.11770,4.11820,
