幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.40500,31.75500,31.73800,31.68900,31.62400,31.56000,31.49300,31.43400,31.38100,本行賣出,32.07500,31.85500,31.84200,31.79700,31.73800,31.68200,31.62200,31.57100,31.52400,
HKD,本行買入,3.90500,4.03100,4.03000,4.02800,4.02600,4.02400,4.02000,4.01600,4.01200,本行賣出,4.10900,4.09100,4.09100,4.09100,4.08900,4.08700,4.08400,4.08200,4.07900,
GBP,本行買入,41.53000,42.54000,42.50100,42.42300,42.33500,42.24500,42.14400,42.04400,41.94300,本行賣出,43.65000,42.94000,42.91400,42.86300,42.77600,42.68700,42.59900,42.51200,42.42400,
AUD,本行買入,22.05000,22.34000,22.31800,22.27300,22.22000,22.16600,22.10900,22.05200,21.99300,本行賣出,22.83000,22.54000,22.52400,22.49100,22.43800,22.38400,22.33400,22.28400,22.23200,
CAD,本行買入,22.48000,22.88000,22.87000,22.85000,22.83500,22.82000,22.80000,22.78000,22.76000,本行賣出,23.39000,23.08000,23.07600,23.06700,23.05300,23.03800,23.02600,23.01400,23.00200,
SGD,本行買入,24.36000,24.85000,24.84500,24.83400,24.83400,24.83600,24.83900,24.84100,24.84400,本行賣出,25.27000,25.03000,25.03600,25.04700,25.04800,25.05100,25.06100,25.07000,25.08000,
CHF,本行買入,39.45000,40.13000,40.13900,40.15800,40.20500,40.25800,40.30900,40.36100,40.41400,本行賣出,40.65000,40.38000,40.40500,40.45600,40.50500,40.55900,40.62300,40.68700,40.75100,
JPY,本行買入,0.19000,0.19730,0.19730,0.19730,0.19740,0.19750,0.19760,0.19770,0.19780,本行賣出,0.20280,0.20130,0.20140,0.20150,0.20170,0.20180,0.20200,0.20220,0.20240,
ZAR,本行買入,0.00000,1.88500,1.88200,1.87500,1.86700,1.85900,1.85100,1.84200,1.83400,本行賣出,0.00000,1.96500,1.96300,1.95800,1.95000,1.94200,1.93500,1.92700,1.91900,
SEK,本行買入,0.00000,3.37000,3.36900,3.36600,3.36400,3.36200,3.36000,3.35700,3.35500,本行賣出,0.00000,3.47000,3.47000,3.47000,3.46800,3.46700,3.46600,3.46500,3.46400,
NZD,本行買入,18.09000,18.47000,18.45900,18.43800,18.42100,18.40400,18.38400,18.36500,18.34500,本行賣出,18.94000,18.67000,18.66700,18.66000,18.64300,18.62600,18.61300,18.59900,18.58600,
THB,本行買入,0.85970,0.97310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04970,1.01310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.38000,37.00000,36.98800,36.96400,36.93800,36.91300,36.88100,36.84900,36.79900,本行賣出,37.72000,37.40000,37.40000,37.40000,37.37900,37.35900,37.34100,37.32300,37.30500,
KRW,本行買入,0.01965,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.98100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.50600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.55700,4.62900,4.62860,4.62770,4.62880,4.63030,4.63080,4.63140,4.63170,本行賣出,4.71900,4.67900,4.67980,4.68130,4.68220,4.68250,4.68420,4.68590,4.68760,
