幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.25000,31.60000,31.56900,31.53900,31.47100,31.40700,31.35300,31.29400,31.23800,本行賣出,31.92000,31.70000,31.67400,31.64800,31.58900,31.53100,31.48200,31.43000,31.37800,
HKD,本行買入,3.89600,4.02200,4.02000,4.01700,4.01300,4.00900,4.00400,3.99900,3.99400,本行賣出,4.10000,4.08200,4.08100,4.08000,4.07500,4.07200,4.06800,4.06500,4.06100,
GBP,本行買入,41.93000,42.94000,42.90600,42.83700,42.74100,42.66400,42.58200,42.50000,42.41800,本行賣出,44.05000,43.34000,43.32200,43.28500,43.19000,43.11900,43.05100,42.98300,42.91500,
AUD,本行買入,21.71000,22.00000,21.98300,21.94800,21.89700,21.85500,21.80700,21.75700,21.70400,本行賣出,22.49000,22.20000,22.19100,22.17200,22.12100,22.08300,22.04200,21.99800,21.95300,
CAD,本行買入,22.64000,23.04000,23.03100,23.01400,22.99400,22.98400,22.96800,22.95200,22.93600,本行賣出,23.55000,23.24000,23.23900,23.23800,23.21900,23.21300,23.20500,23.19700,23.18900,
SGD,本行買入,24.29000,24.78000,24.77600,24.76900,24.77300,24.77600,24.77700,24.77800,24.78000,本行賣出,25.20000,24.96000,24.96600,24.97800,24.98200,24.99000,24.99900,25.00900,25.01800,
CHF,本行買入,39.90000,40.58000,40.58700,40.60200,40.66500,40.71300,40.76400,40.81600,40.86800,本行賣出,41.10000,40.83000,40.85600,40.90700,40.97100,41.02700,41.09100,41.15600,41.22100,
JPY,本行買入,0.19220,0.19950,0.19950,0.19960,0.19960,0.19980,0.19990,0.20000,0.20000,本行賣出,0.20500,0.20350,0.20360,0.20370,0.20380,0.20410,0.20430,0.20440,0.20460,
ZAR,本行買入,0.00000,1.92700,1.92400,1.91800,1.90900,1.90200,1.89300,1.88500,1.87700,本行賣出,0.00000,2.00700,2.00500,2.00100,1.99200,1.98500,1.97700,1.97000,1.96300,
SEK,本行買入,0.00000,3.48000,3.47900,3.47700,3.47500,3.47400,3.47200,3.47000,3.46800,本行賣出,0.00000,3.58000,3.58000,3.58100,3.57900,3.57900,3.57800,3.57800,3.57800,
NZD,本行買入,18.50000,18.88000,18.87100,18.85300,18.83600,18.82200,18.80400,18.78500,18.76700,本行賣出,19.35000,19.08000,19.08000,19.07900,19.06200,19.05000,19.03900,19.02700,19.01500,
THB,本行買入,0.86760,0.98100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.05760,1.02100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.54000,37.16000,37.14900,37.12700,37.10100,37.08400,37.06400,37.04300,37.00800,本行賣出,37.88000,37.56000,37.56000,37.55900,37.54100,37.52700,37.52000,37.51300,37.50600,
KRW,本行買入,0.01988,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02378,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.52700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.46300,4.53500,4.53410,4.53220,4.53130,4.53100,4.52990,4.52840,4.52770,本行賣出,4.62500,4.58500,4.58540,4.58620,4.58580,4.58540,4.58570,4.58610,4.58650,
