幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.00500,31.35500,31.34100,31.29800,31.23800,31.18200,31.12300,31.06000,31.00300,本行賣出,31.67500,31.45500,31.44500,31.40700,31.35300,31.30400,31.25200,31.19700,31.14500,
HKD,本行買入,3.85300,3.97900,3.97800,3.97500,3.97100,3.96700,3.96400,3.96000,3.95600,本行賣出,4.05700,4.03900,4.03900,4.03800,4.03400,4.03100,4.02900,4.02600,4.02400,
GBP,本行買入,40.90000,41.91000,41.87500,41.80600,41.71500,41.62300,41.52200,41.42100,41.32000,本行賣出,43.02000,42.31000,42.28900,42.24600,42.15900,42.07000,41.98000,41.88900,41.79800,
AUD,本行買入,21.97000,22.26000,22.23800,22.19300,22.13500,22.07800,22.01900,21.95700,21.89600,本行賣出,22.75000,22.46000,22.44500,22.41400,22.35700,22.30300,22.24900,22.19400,22.13900,
CAD,本行買入,22.17000,22.57000,22.56200,22.54700,22.53100,22.51600,22.49600,22.47600,22.45600,本行賣出,23.08000,22.77000,22.76800,22.76300,22.74900,22.73700,22.72300,22.70900,22.69500,
SGD,本行買入,23.98000,24.47000,24.46600,24.45900,24.46400,24.46700,24.47300,24.47900,24.48400,本行賣出,24.89000,24.65000,24.65700,24.67200,24.67700,24.68400,24.69700,24.70900,24.72100,
CHF,本行買入,39.03000,39.71000,39.72100,39.74400,39.79800,39.84600,39.89700,39.94900,40.00100,本行賣出,40.23000,39.96000,39.98700,40.04000,40.09700,40.15300,40.21600,40.28000,40.34500,
JPY,本行買入,0.18770,0.19500,0.19500,0.19510,0.19520,0.19530,0.19540,0.19550,0.19560,本行賣出,0.20050,0.19900,0.19910,0.19920,0.19940,0.19950,0.19970,0.19990,0.20000,
ZAR,本行買入,0.00000,1.87100,1.86800,1.86200,1.85400,1.84600,1.83700,1.82900,1.82100,本行賣出,0.00000,1.95100,1.94900,1.94400,1.93600,1.92800,1.92000,1.91200,1.90500,
SEK,本行買入,0.00000,3.33000,3.32900,3.32700,3.32600,3.32400,3.32200,3.32000,3.31800,本行賣出,0.00000,3.43000,3.43000,3.43100,3.43000,3.42900,3.42800,3.42700,3.42600,
NZD,本行買入,18.02000,18.40000,18.39100,18.37200,18.35600,18.33500,18.31300,18.29000,18.26800,本行賣出,18.87000,18.60000,18.59800,18.59500,18.57800,18.55900,18.54200,18.52500,18.50700,
THB,本行買入,0.83270,0.94610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02270,0.98610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.57590,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.66000,36.28000,36.27200,36.25500,36.23100,36.21200,36.18100,36.15100,36.10400,本行賣出,37.00000,36.68000,36.68100,36.68300,36.66500,36.65100,36.63500,36.61900,36.60300,
KRW,本行買入,0.01917,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02307,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.86800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.39300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.53400,4.60600,4.60620,4.60670,4.60850,4.61070,4.61130,4.61240,4.61260,本行賣出,4.69600,4.65600,4.65750,4.66040,4.66130,4.66290,4.66500,4.66720,4.66940,
