幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.57500,29.92500,29.90600,29.84400,29.76600,29.69600,29.62800,29.55500,29.48200,本行賣出,30.24500,30.02500,30.01000,29.95500,29.88600,29.82600,29.76700,29.70200,29.63800,
HKD,本行買入,3.66300,3.78900,3.78900,3.78900,3.78800,3.78700,3.78300,3.77900,3.77500,本行賣出,3.86700,3.84900,3.85000,3.85300,3.85200,3.85200,3.84900,3.84600,3.84300,
GBP,本行買入,39.49000,40.50000,40.46100,40.38400,40.28700,40.21000,40.12500,40.04000,39.95500,本行賣出,41.61000,40.90000,40.88000,40.84100,40.75300,40.68100,40.60900,40.53700,40.46500,
AUD,本行買入,19.19000,19.48000,19.46400,19.43200,19.39000,19.36000,19.32700,19.29500,19.26100,本行賣出,19.97000,19.68000,19.67100,19.65400,19.61700,19.58700,19.55900,19.53200,19.50500,
CAD,本行買入,21.26000,21.66000,21.64800,21.62400,21.59600,21.58200,21.56100,21.54000,21.51900,本行賣出,22.17000,21.86000,21.85800,21.85400,21.83000,21.81900,21.80400,21.78900,21.77500,
SGD,本行買入,22.82000,23.31000,23.30300,23.28800,23.28000,23.28000,23.27700,23.27300,23.27000,本行賣出,23.73000,23.49000,23.49500,23.50400,23.50000,23.50100,23.50400,23.50700,23.51100,
CHF,本行買入,36.35000,37.03000,37.03700,37.05000,37.09200,37.14700,37.19700,37.24700,37.29800,本行賣出,37.55000,37.28000,37.30700,37.36100,37.41100,37.46700,37.52800,37.58900,37.65000,
JPY,本行買入,0.19520,0.20250,0.20260,0.20270,0.20280,0.20290,0.20300,0.20320,0.20330,本行賣出,0.20800,0.20650,0.20660,0.20680,0.20700,0.20720,0.20740,0.20770,0.20790,
ZAR,本行買入,0.00000,1.66400,1.66100,1.65500,1.64700,1.64000,1.63200,1.62400,1.61700,本行賣出,0.00000,1.74400,1.74200,1.73700,1.73000,1.72300,1.71500,1.70800,1.70100,
SEK,本行買入,0.00000,3.09000,3.08900,3.08600,3.08400,3.08300,3.08200,3.08100,3.07900,本行賣出,0.00000,3.19000,3.19000,3.19100,3.18900,3.18900,3.18800,3.18800,3.18800,
NZD,本行買入,17.37000,17.75000,17.73700,17.71000,17.68200,17.66200,17.63900,17.61500,17.59200,本行賣出,18.22000,17.95000,17.94700,17.94000,17.91600,17.89700,17.87800,17.86000,17.84100,
THB,本行買入,0.79700,0.91040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.98700,0.95040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.20000,34.82000,34.81000,34.78900,34.76500,34.74700,34.72000,34.69200,34.64900,本行賣出,35.54000,35.22000,35.22000,35.21900,35.20300,35.19100,35.18100,35.17000,35.15900,
KRW,本行買入,0.01990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00133,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.09900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.62400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.08000,4.15200,4.15110,4.14930,4.14880,4.14830,4.14660,4.14450,4.14330,本行賣出,4.24200,4.20200,4.20230,4.20280,4.20270,4.20230,4.20250,4.20270,4.20290,
