幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.01000,31.36000,31.34200,31.28500,31.21600,31.15300,31.08000,31.02100,30.95700,本行賣出,31.68000,31.46000,31.44600,31.39300,31.33400,31.27800,31.21200,31.16300,31.10200,
HKD,本行買入,3.87700,4.00300,4.00100,3.99600,3.99100,3.98600,3.98000,3.97400,3.96700,本行賣出,4.08100,4.06300,4.06100,4.05800,4.05300,4.04900,4.04400,4.03900,4.03400,
GBP,本行買入,40.32000,41.33000,41.29200,41.21500,41.12700,41.04600,40.95600,40.86600,40.77600,本行賣出,42.44000,41.73000,41.70800,41.66300,41.57500,41.49700,41.42100,41.34500,41.26900,
AUD,本行買入,20.20000,20.49000,20.47200,20.43600,20.39400,20.35600,20.31200,20.26700,20.22100,本行賣出,20.98000,20.69000,20.68200,20.66500,20.62500,20.58700,20.55100,20.51200,20.47400,
CAD,本行買入,21.95000,22.35000,22.34400,22.33100,22.31500,22.30000,22.28000,22.25900,22.23900,本行賣出,22.86000,22.55000,22.54800,22.54500,22.53100,22.51600,22.50400,22.49300,22.48100,
SGD,本行買入,23.65000,24.14000,24.13600,24.12900,24.12900,24.13000,24.12300,24.11700,24.11100,本行賣出,24.56000,24.32000,24.32500,24.33500,24.33800,24.33800,24.34200,24.34500,24.34900,
CHF,本行買入,38.24000,38.92000,38.94000,38.97900,39.01600,39.05800,39.09700,39.13800,39.17800,本行賣出,39.44000,39.17000,39.19900,39.25600,39.29400,39.33700,39.39300,39.44900,39.50600,
JPY,本行買入,0.19240,0.19970,0.19980,0.19990,0.20000,0.20000,0.20010,0.20020,0.20030,本行賣出,0.20520,0.20370,0.20380,0.20410,0.20420,0.20430,0.20450,0.20470,0.20480,
ZAR,本行買入,0.00000,1.79800,1.79500,1.78900,1.78000,1.77300,1.76500,1.75700,1.74900,本行賣出,0.00000,1.87800,1.87600,1.87100,1.86300,1.85600,1.84800,1.84100,1.83300,
SEK,本行買入,0.00000,3.28000,3.27900,3.27700,3.27600,3.27400,3.27200,3.27000,3.26700,本行賣出,0.00000,3.38000,3.38000,3.38100,3.38000,3.37900,3.37800,3.37700,3.37500,
NZD,本行買入,17.53000,17.91000,17.90100,17.88400,17.86600,17.85100,17.83200,17.81300,17.79400,本行賣出,18.38000,18.11000,18.11000,18.10900,18.09200,18.07800,18.06500,18.05200,18.03900,
THB,本行買入,0.85340,0.96680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.04340,1.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.66000,36.28000,36.27100,36.25200,36.22600,36.20500,36.17900,36.15300,36.11000,本行賣出,37.00000,36.68000,36.67800,36.67500,36.65700,36.64300,36.63000,36.61700,36.60300,
KRW,本行買入,0.01966,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00096,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.57800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.10300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.34800,4.42000,4.41930,4.41780,4.41640,4.41500,4.41280,4.41000,4.40860,本行賣出,4.51000,4.47000,4.47040,4.47110,4.47050,4.46960,4.46900,4.46840,4.46780,
