幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.30500,32.65500,32.63200,32.57000,32.47200,32.39300,32.30300,32.21300,32.13000,本行賣出,32.97500,32.75500,32.73800,32.68600,32.60200,32.53000,32.45100,32.37500,32.30500,
HKD,本行買入,4.04700,4.17300,4.17000,4.16400,4.15500,4.14800,4.13900,4.13000,4.12100,本行賣出,4.25100,4.23300,4.23100,4.22700,4.21800,4.21100,4.20300,4.19500,4.18800,
GBP,本行買入,40.00000,41.01000,40.96800,40.88500,40.76900,40.66900,40.56100,40.45300,40.34500,本行賣出,42.12000,41.41000,41.38400,41.33200,41.21400,41.11700,41.02200,40.92600,40.83000,
AUD,本行買入,20.42000,20.71000,20.67100,20.59400,20.53900,20.49400,20.44400,20.39500,20.34400,本行賣出,21.20000,20.91000,20.91700,20.93200,20.87600,20.83300,20.78800,20.74500,20.70100,
CAD,本行買入,22.56000,22.96000,22.94800,22.92300,22.88600,22.86200,22.83100,22.79900,22.76700,本行賣出,23.47000,23.16000,23.15500,23.14500,23.10700,23.08600,23.06100,23.03700,23.01300,
SGD,本行買入,23.83000,24.32000,24.30600,24.27700,24.23500,24.21100,24.17800,24.14500,24.11200,本行賣出,24.74000,24.50000,24.49600,24.48800,24.44700,24.42200,24.39700,24.37100,24.34500,
CHF,本行買入,35.52000,36.20000,36.20600,36.21700,36.22900,36.27600,36.30700,36.33800,36.36900,本行賣出,36.72000,36.45000,36.47200,36.51500,36.52800,36.57700,36.61900,36.66200,36.70400,
JPY,本行買入,0.20610,0.21340,0.21340,0.21350,0.21370,0.21380,0.21400,0.21410,0.21430,本行賣出,0.21890,0.21740,0.21750,0.21770,0.21800,0.21820,0.21840,0.21870,0.21890,
ZAR,本行買入,0.00000,1.73600,1.73300,1.72600,1.71700,1.70800,1.69900,1.69000,1.68100,本行賣出,0.00000,1.81600,1.81300,1.80800,1.79900,1.79000,1.78200,1.77300,1.76500,
SEK,本行買入,0.00000,3.01000,3.00900,3.00700,3.00300,3.00200,2.99900,2.99700,2.99400,本行賣出,0.00000,3.11000,3.11000,3.11000,3.10700,3.10600,3.10400,3.10200,3.10000,
NZD,本行買入,18.28000,18.66000,18.62700,18.56200,18.51900,18.48700,18.45300,18.41800,18.38200,本行賣出,19.13000,18.86000,18.86700,18.88200,18.83900,18.80800,18.77800,18.74900,18.71900,
THB,本行買入,0.84120,0.95460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03120,0.99460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.62980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.47000,34.09000,34.07700,34.05000,34.01400,33.98700,33.95800,33.92900,33.88000,本行賣出,34.81000,34.49000,34.48200,34.46700,34.43600,34.41800,34.40200,34.38600,34.37000,
KRW,本行買入,0.02093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02483,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.35400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.87900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.41000,4.48200,4.48050,4.47760,4.47350,4.46950,4.46530,4.45960,4.45690,本行賣出,4.57200,4.53200,4.53130,4.53000,4.52640,4.52270,4.52020,4.51760,4.51510,
