幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.80500,30.15500,30.13700,30.08200,30.01000,29.94100,29.86900,29.79900,29.75500,本行賣出,30.47500,30.25500,30.24100,30.19200,30.13000,30.06900,30.00500,29.94300,29.90500,
HKD,本行買入,3.72800,3.85400,3.85200,3.84700,3.84100,3.83500,3.83000,3.82400,3.81800,本行賣出,3.93200,3.91400,3.91300,3.91000,3.90400,3.90000,3.89500,3.89100,3.88600,
GBP,本行買入,39.83000,40.84000,40.80300,40.73000,40.63100,40.54200,40.44700,40.35200,40.25800,本行賣出,41.95000,41.24000,41.21700,41.17200,41.07500,40.99100,40.91100,40.83100,40.75100,
AUD,本行買入,19.73000,20.02000,20.00400,19.97300,19.93200,19.89800,19.86200,19.82600,19.78800,本行賣出,20.51000,20.22000,20.21000,20.19000,20.15000,20.11800,20.08900,20.06000,20.02800,
CAD,本行買入,21.33000,21.73000,21.71900,21.69600,21.67100,21.65100,21.62800,21.60500,21.58200,本行賣出,22.24000,21.93000,21.92600,21.91900,21.89400,21.87700,21.86200,21.84700,21.83100,
SGD,本行買入,22.98000,23.47000,23.46500,23.45600,23.45300,23.45300,23.45100,23.44800,23.44600,本行賣出,23.89000,23.65000,23.65400,23.66200,23.66100,23.66300,23.66900,23.67500,23.68100,
CHF,本行買入,37.11000,37.79000,37.79800,37.81500,37.86400,37.90700,37.94900,37.99100,38.03300,本行賣出,38.31000,38.04000,38.06400,38.11100,38.16200,38.21000,38.26700,38.32400,38.38100,
JPY,本行買入,0.19560,0.20290,0.20290,0.20300,0.20310,0.20330,0.20340,0.20350,0.20360,本行賣出,0.20840,0.20690,0.20700,0.20720,0.20740,0.20760,0.20780,0.20810,0.20830,
ZAR,本行買入,0.00000,1.70100,1.69800,1.69200,1.68400,1.67700,1.66900,1.66100,1.65300,本行賣出,0.00000,1.78100,1.77900,1.77500,1.76600,1.75900,1.75200,1.74500,1.73800,
SEK,本行買入,0.00000,3.20000,3.19900,3.19700,3.19500,3.19300,3.19100,3.18900,3.18700,本行賣出,0.00000,3.30000,3.30000,3.30000,3.29900,3.29700,3.29700,3.29700,3.29700,
NZD,本行買入,17.53000,17.91000,17.89800,17.87400,17.84900,17.82700,17.80400,17.78100,17.75800,本行賣出,18.38000,18.11000,18.10500,18.09600,18.07300,18.05200,18.03600,18.01900,18.00300,
THB,本行買入,0.81770,0.93110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.00770,0.97110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59430,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.63000,35.25000,35.24100,35.22200,35.20000,35.18400,35.16300,35.14200,35.10700,本行賣出,35.97000,35.65000,35.65000,35.64900,35.63700,35.62500,35.61600,35.60800,35.59900,
KRW,本行買入,0.02003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02393,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00133,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.15800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.68300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.14300,4.21500,4.21440,4.21320,4.21280,4.21260,4.21100,4.20910,4.20790,本行賣出,4.30500,4.26500,4.26550,4.26640,4.26660,4.26640,4.26640,4.26640,4.26630,
