幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.02000,31.37000,31.35100,31.29000,31.21200,31.14400,31.07900,31.00700,30.94100,本行賣出,31.69000,31.47000,31.45400,31.39900,31.33000,31.27000,31.21400,31.15100,31.09200,
HKD,本行買入,3.87900,4.00500,4.00300,3.99800,3.98900,3.98400,3.97800,3.97200,3.96600,本行賣出,4.08300,4.06500,4.06300,4.06000,4.05300,4.04700,4.04200,4.03800,4.03300,
GBP,本行買入,39.91000,40.92000,40.88700,40.82200,40.73200,40.65000,40.57000,40.48900,40.40900,本行賣出,42.03000,41.32000,41.29800,41.25500,41.16700,41.08800,41.02000,40.95200,40.88500,
AUD,本行買入,19.83000,20.12000,20.10600,20.07700,20.03900,20.00200,19.96500,19.92900,19.89000,本行賣出,20.61000,20.32000,20.31100,20.29300,20.25600,20.22100,20.19100,20.15900,20.12900,
CAD,本行買入,21.78000,22.18000,22.17300,22.15900,22.14900,22.13600,22.12100,22.10500,22.09000,本行賣出,22.69000,22.38000,22.37900,22.37700,22.36700,22.35400,22.34800,22.34100,22.33400,
SGD,本行買入,23.45000,23.94000,23.93800,23.93300,23.93500,23.93800,23.93800,23.93800,23.93800,本行賣出,24.36000,24.12000,24.12600,24.13800,24.14300,24.14700,24.15500,24.16200,24.16900,
CHF,本行買入,38.25000,38.93000,38.94100,38.96200,39.02500,39.07600,39.12200,39.17000,39.21700,本行賣出,39.45000,39.18000,39.20600,39.25700,39.32200,39.37600,39.43600,39.49600,39.55600,
JPY,本行買入,0.19120,0.19850,0.19850,0.19850,0.19870,0.19880,0.19890,0.19890,0.19900,本行賣出,0.20400,0.20250,0.20260,0.20270,0.20300,0.20310,0.20330,0.20350,0.20360,
ZAR,本行買入,0.00000,1.77400,1.77100,1.76500,1.75700,1.75000,1.74300,1.73500,1.72800,本行賣出,0.00000,1.85400,1.85200,1.84800,1.84000,1.83300,1.82600,1.81900,1.81300,
SEK,本行買入,0.00000,3.24000,3.23900,3.23700,3.23600,3.23500,3.23300,3.23100,3.22900,本行賣出,0.00000,3.34000,3.34000,3.34100,3.34100,3.34000,3.33900,3.33900,3.33800,
NZD,本行買入,17.11000,17.49000,17.48200,17.46500,17.45200,17.43900,17.42500,17.41100,17.39600,本行賣出,17.96000,17.69000,17.68900,17.68600,17.67500,17.66300,17.65400,17.64500,17.63700,
THB,本行買入,0.83790,0.95130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02790,0.99130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.45000,36.07000,36.06000,36.03900,36.01200,35.98800,35.96000,35.93200,35.88600,本行賣出,36.79000,36.47000,36.46800,36.46400,36.44400,36.42900,36.41600,36.40300,36.39000,
KRW,本行買入,0.01956,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.55100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.07600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.31900,4.39100,4.38980,4.38750,4.38630,4.38430,4.38190,4.37860,4.37700,本行賣出,4.48100,4.44100,4.44090,4.44060,4.44010,4.43850,4.43800,4.43740,4.43690,
