幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.40500,32.75500,32.72900,32.66000,32.57700,32.48200,32.39900,32.31400,32.23000,本行賣出,33.07500,32.85500,32.83400,32.77500,32.70200,32.62000,32.55000,32.47400,32.39800,
HKD,本行買入,4.05800,4.18400,4.18000,4.17200,4.16300,4.15300,4.14400,4.13500,4.12500,本行賣出,4.26200,4.24400,4.24100,4.23600,4.22800,4.21800,4.21000,4.20200,4.19500,
GBP,本行買入,38.86000,39.87000,39.82100,39.72200,39.61600,39.48500,39.37500,39.26500,39.15500,本行賣出,40.98000,40.27000,40.24000,40.18000,40.07800,39.95100,39.85200,39.75200,39.65300,
AUD,本行買入,20.01000,20.30000,20.27700,20.23100,20.18300,20.12500,20.07800,20.03000,19.98300,本行賣出,20.79000,20.50000,20.48800,20.46300,20.41600,20.35800,20.31800,20.27700,20.23700,
CAD,本行買入,22.21000,22.61000,22.59600,22.56700,22.53700,22.49700,22.46700,22.43700,22.40800,本行賣出,23.12000,22.81000,22.80200,22.78700,22.75800,22.71800,22.69600,22.67400,22.65200,
SGD,本行買入,23.47000,23.96000,23.94400,23.91300,23.88300,23.84700,23.81900,23.79100,23.76200,本行賣出,24.38000,24.14000,24.13500,24.12400,24.09600,24.05900,24.03900,24.01900,23.99900,
CHF,本行買入,35.14000,35.82000,35.82100,35.82400,35.85100,35.87100,35.90500,35.94000,35.97600,本行賣出,36.34000,36.07000,36.09000,36.12900,36.15800,36.19100,36.24300,36.29600,36.34800,
JPY,本行買入,0.20100,0.20830,0.20830,0.20840,0.20850,0.20870,0.20880,0.20900,0.20910,本行賣出,0.21380,0.21230,0.21240,0.21260,0.21280,0.21300,0.21330,0.21350,0.21380,
ZAR,本行買入,0.00000,1.71600,1.71200,1.70500,1.69600,1.68700,1.67800,1.66900,1.66000,本行賣出,0.00000,1.79600,1.79300,1.78800,1.77900,1.77000,1.76100,1.75300,1.74500,
SEK,本行買入,0.00000,2.90000,2.89800,2.89500,2.89300,2.88900,2.88600,2.88400,2.88100,本行賣出,0.00000,3.00000,3.00000,2.99900,2.99700,2.99400,2.99200,2.99100,2.98900,
NZD,本行買入,17.96000,18.34000,18.31900,18.27800,18.24200,18.19900,18.16600,18.13300,18.10000,本行賣出,18.81000,18.54000,18.53100,18.51200,18.47400,18.43100,18.40500,18.37800,18.35200,
THB,本行買入,0.82770,0.94110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01770,0.98110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.62670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.02000,33.64000,33.62200,33.58600,33.54600,33.51100,33.47800,33.44600,33.39000,本行賣出,34.36000,34.04000,34.02900,34.00600,33.97200,33.95300,33.93600,33.91800,33.90100,
KRW,本行買入,0.02091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.26800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.79300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.38000,4.45200,4.44910,4.44320,4.43630,4.42970,4.42530,4.41870,4.41650,本行賣出,4.54200,4.50200,4.50030,4.49680,4.49350,4.48730,4.48420,4.48110,4.47790,
