幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.79000,32.14000,32.12400,32.07000,32.00600,31.94400,31.87900,31.81500,31.74600,本行賣出,32.46000,32.24000,32.22800,32.17900,32.12400,32.07000,32.01200,31.95700,31.89500,
HKD,本行買入,3.95000,4.07600,4.07400,4.07100,4.06800,4.06400,4.05800,4.05200,4.04600,本行賣出,4.15400,4.13600,4.13500,4.13400,4.13100,4.12800,4.12300,4.11900,4.11500,
GBP,本行買入,41.81000,42.82000,42.78600,42.71800,42.64000,42.56500,42.48200,42.39900,42.31600,本行賣出,43.93000,43.22000,43.19800,43.15400,43.08200,43.01100,42.94000,42.86800,42.79700,
AUD,本行買入,21.95000,22.24000,22.21800,22.17500,22.12200,22.07200,22.01800,21.96300,21.91000,本行賣出,22.73000,22.44000,22.42400,22.39300,22.34400,22.29600,22.24700,22.19900,22.15100,
CAD,本行買入,22.33000,22.73000,22.72300,22.71000,22.69700,22.68700,22.67500,22.66300,22.65100,本行賣出,23.24000,22.93000,22.92900,22.92700,22.91700,22.90900,22.90400,22.89800,22.89300,
SGD,本行買入,24.32000,24.81000,24.80800,24.80300,24.80900,24.81700,24.82500,24.83300,24.84100,本行賣出,25.23000,24.99000,24.99700,25.01000,25.02000,25.03100,25.04500,25.06000,25.07400,
CHF,本行買入,38.75000,39.43000,39.44400,39.47200,39.52800,39.58800,39.65000,39.71200,39.77500,本行賣出,39.95000,39.68000,39.70700,39.76000,39.82200,39.88600,39.95800,40.03100,40.10500,
JPY,本行買入,0.18900,0.19630,0.19630,0.19630,0.19640,0.19650,0.19660,0.19670,0.19680,本行賣出,0.20180,0.20030,0.20040,0.20060,0.20070,0.20090,0.20110,0.20130,0.20150,
ZAR,本行買入,0.00000,1.91300,1.91000,1.90300,1.89500,1.88700,1.87800,1.87000,1.86200,本行賣出,0.00000,1.99300,1.99000,1.98500,1.97700,1.97000,1.96200,1.95400,1.94600,
SEK,本行買入,0.00000,3.28000,3.27900,3.27800,3.27700,3.27700,3.27600,3.27500,3.27500,本行賣出,0.00000,3.38000,3.38000,3.38100,3.38100,3.38000,3.38100,3.38100,3.38200,
NZD,本行買入,18.18000,18.56000,18.55000,18.53100,18.51700,18.50100,18.48200,18.46300,18.44300,本行賣出,19.03000,18.76000,18.75900,18.75800,18.74600,18.73100,18.71700,18.70300,18.69000,
THB,本行買入,0.83200,0.94540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.02200,0.98540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45580,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.87000,36.49000,36.47700,36.45100,36.42500,36.40100,36.37200,36.34300,36.29700,本行賣出,37.21000,36.89000,36.88400,36.87200,36.84900,36.83300,36.81600,36.79900,36.78200,
KRW,本行買入,0.01982,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.86800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.39300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.65000,4.72200,4.72120,4.71960,4.72040,4.72230,4.72380,4.72560,4.72690,本行賣出,4.81200,4.77200,4.77260,4.77390,4.77440,4.77580,4.77800,4.78020,4.78240,
