幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.05000,31.40000,31.38400,31.33100,31.27100,31.21300,31.14900,31.09300,31.03800,本行賣出,31.72000,31.50000,31.48800,31.44000,31.38700,31.33600,31.27900,31.22900,31.17900,
HKD,本行買入,3.86400,3.99000,3.98800,3.98500,3.98100,3.97700,3.97200,3.96700,3.96200,本行賣出,4.06800,4.05000,4.04900,4.04800,4.04300,4.04000,4.03600,4.03300,4.02900,
GBP,本行買入,41.20000,42.21000,42.17600,42.10700,42.01100,41.93400,41.85200,41.77000,41.68800,本行賣出,43.32000,42.61000,42.59200,42.55500,42.46000,42.38900,42.32100,42.25300,42.18500,
AUD,本行買入,21.84000,22.13000,22.11300,22.07800,22.02700,21.98500,21.93700,21.88700,21.83400,本行賣出,22.62000,22.33000,22.32100,22.30200,22.25100,22.21300,22.17200,22.12800,22.08300,
CAD,本行買入,22.46000,22.86000,22.85100,22.83400,22.81400,22.80400,22.78800,22.77200,22.75600,本行賣出,23.37000,23.06000,23.05900,23.05800,23.03900,23.03300,23.02500,23.01700,23.00900,
SGD,本行買入,24.24000,24.73000,24.72600,24.71900,24.72300,24.72600,24.72700,24.72800,24.73000,本行賣出,25.15000,24.91000,24.91600,24.92800,24.93200,24.94000,24.94900,24.95900,24.96800,
CHF,本行買入,39.74000,40.42000,40.42700,40.44200,40.50500,40.55300,40.60400,40.65600,40.70800,本行賣出,40.94000,40.67000,40.69600,40.74700,40.81100,40.86700,40.93100,40.99600,41.06100,
JPY,本行買入,0.19220,0.19950,0.19950,0.19950,0.19970,0.19980,0.19990,0.20000,0.20000,本行賣出,0.20500,0.20350,0.20360,0.20370,0.20390,0.20400,0.20420,0.20440,0.20460,
ZAR,本行買入,0.00000,1.92300,1.92000,1.91400,1.90500,1.89800,1.88900,1.88100,1.87300,本行賣出,0.00000,2.00300,2.00100,1.99700,1.98800,1.98100,1.97300,1.96600,1.95900,
SEK,本行買入,0.00000,3.42000,3.41900,3.41700,3.41500,3.41400,3.41200,3.41000,3.40800,本行賣出,0.00000,3.52000,3.52000,3.52100,3.51900,3.51900,3.51800,3.51800,3.51800,
NZD,本行買入,18.28000,18.66000,18.65100,18.63300,18.61600,18.60200,18.58400,18.56500,18.54700,本行賣出,19.13000,18.86000,18.86000,18.85900,18.84200,18.83000,18.81900,18.80700,18.79500,
THB,本行買入,0.88360,0.99700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07360,1.03700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.61060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.23000,36.85000,36.83700,36.81200,36.79400,36.78000,36.75800,36.73500,36.69800,本行賣出,37.57000,37.25000,37.24700,37.24000,37.22900,37.21900,37.21100,37.20300,37.19400,
KRW,本行買入,0.02001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.04200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.56700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.47000,4.54200,4.54130,4.53980,4.54050,4.53990,4.53870,4.53720,4.53630,本行賣出,4.63200,4.59200,4.59210,4.59220,4.59280,4.59330,4.59370,4.59410,4.59440,
