幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.21500,30.56500,30.54500,30.48500,30.40600,30.33200,30.25400,30.18900,30.12600,本行賣出,30.88500,30.66500,30.64900,30.59500,30.52600,30.46200,30.39500,30.33900,30.28400,
HKD,本行買入,3.77200,3.89800,3.89600,3.89100,3.88500,3.87900,3.87400,3.86800,3.86200,本行賣出,3.97600,3.95800,3.95700,3.95400,3.94800,3.94400,3.93900,3.93500,3.93000,
GBP,本行買入,40.22000,41.23000,41.19300,41.12000,41.02100,40.93200,40.83700,40.74200,40.64800,本行賣出,42.34000,41.63000,41.60700,41.56200,41.46500,41.38100,41.30100,41.22100,41.14100,
AUD,本行買入,19.65000,19.94000,19.92400,19.89300,19.85200,19.81800,19.78200,19.74600,19.70800,本行賣出,20.43000,20.14000,20.13000,20.11000,20.07000,20.03800,20.00900,19.98000,19.94800,
CAD,本行買入,21.77000,22.17000,22.15900,22.13600,22.11100,22.09100,22.06800,22.04500,22.02200,本行賣出,22.68000,22.37000,22.36600,22.35900,22.33400,22.31700,22.30200,22.28700,22.27100,
SGD,本行買入,23.27000,23.76000,23.75500,23.74600,23.74300,23.74300,23.74100,23.73800,23.73600,本行賣出,24.18000,23.94000,23.94400,23.95200,23.95100,23.95300,23.95900,23.96500,23.97100,
CHF,本行買入,37.48000,38.16000,38.16800,38.18500,38.23400,38.27700,38.31900,38.36100,38.40300,本行賣出,38.68000,38.41000,38.43400,38.48100,38.53200,38.58000,38.63700,38.69400,38.75100,
JPY,本行買入,0.19880,0.20610,0.20610,0.20620,0.20640,0.20650,0.20660,0.20670,0.20680,本行賣出,0.21160,0.21010,0.21020,0.21040,0.21060,0.21080,0.21100,0.21120,0.21150,
ZAR,本行買入,0.00000,1.70100,1.69800,1.69200,1.68400,1.67700,1.66900,1.66100,1.65300,本行賣出,0.00000,1.78100,1.77900,1.77500,1.76600,1.75900,1.75200,1.74500,1.73800,
SEK,本行買入,0.00000,3.20000,3.19900,3.19700,3.19500,3.19300,3.19100,3.18900,3.18700,本行賣出,0.00000,3.30000,3.30000,3.30000,3.29900,3.29700,3.29700,3.29700,3.29700,
NZD,本行買入,17.59000,17.97000,17.95800,17.93400,17.90900,17.88700,17.86400,17.84100,17.81800,本行賣出,18.44000,18.17000,18.16500,18.15600,18.13300,18.11200,18.09600,18.07900,18.06300,
THB,本行買入,0.81970,0.93310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.00970,0.97310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.07000,35.69000,35.67900,35.65600,35.63400,35.61500,35.59400,35.57300,35.53800,本行賣出,36.41000,36.09000,36.09000,36.08900,36.07000,36.05600,36.04800,36.04000,36.03200,
KRW,本行買入,0.02024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02414,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.22100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.74600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.19700,4.26900,4.26880,4.26840,4.26550,4.26430,4.26250,4.26010,4.25890,本行賣出,4.35900,4.31900,4.31990,4.32180,4.31930,4.31840,4.31810,4.31770,4.31730,
