幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.80000,33.15000,33.12700,33.05200,32.96700,32.88200,32.79500,32.71900,32.63700,本行賣出,33.47000,33.25000,33.23300,33.16500,33.09100,33.01900,32.94500,32.87900,32.80800,
HKD,本行買入,4.11100,4.23700,4.23400,4.22800,4.22000,4.21100,4.20300,4.19500,4.18600,本行賣出,4.31500,4.29700,4.29500,4.29100,4.28200,4.27400,4.26700,4.26000,4.25300,
GBP,本行買入,41.66000,42.67000,42.62500,42.53400,42.42000,42.31900,42.20700,42.09500,41.98200,本行賣出,43.78000,43.07000,43.04000,42.97900,42.86800,42.76800,42.67400,42.58000,42.48500,
AUD,本行買入,20.35000,20.64000,20.62000,20.58100,20.53100,20.48800,20.44200,20.39400,20.34800,本行賣出,21.13000,20.84000,20.82700,20.80200,20.75300,20.71000,20.67100,20.63100,20.59000,
CAD,本行買入,22.56000,22.96000,22.94800,22.92500,22.89900,22.87900,22.85400,22.82900,22.80400,本行賣出,23.47000,23.16000,23.15500,23.14500,23.12100,23.10100,23.08300,23.06600,23.04800,
SGD,本行買入,24.14000,24.63000,24.62000,24.60000,24.57200,24.55300,24.52900,24.50500,24.48200,本行賣出,25.05000,24.81000,24.80500,24.79400,24.76800,24.74900,24.73300,24.71800,24.70200,
CHF,本行買入,36.78000,37.46000,37.46600,37.47800,37.51500,37.56000,37.59600,37.63300,37.66900,本行賣出,37.98000,37.71000,37.73000,37.77000,37.81000,37.85500,37.90400,37.95300,38.00300,
JPY,本行買入,0.21260,0.21990,0.21990,0.22000,0.22020,0.22040,0.22050,0.22060,0.22070,本行賣出,0.22540,0.22390,0.22400,0.22420,0.22440,0.22460,0.22480,0.22510,0.22530,
ZAR,本行買入,0.00000,1.76300,1.76000,1.75300,1.74400,1.73500,1.72600,1.71700,1.70800,本行賣出,0.00000,1.84300,1.84000,1.83500,1.82600,1.81800,1.80900,1.80100,1.79300,
SEK,本行買入,0.00000,3.27000,3.26900,3.26600,3.26300,3.26100,3.25800,3.25500,3.25100,本行賣出,0.00000,3.37000,3.37000,3.36900,3.36700,3.36500,3.36300,3.36200,3.36000,
NZD,本行買入,18.36000,18.74000,18.72500,18.69400,18.65800,18.62700,18.59400,18.56100,18.52800,本行賣出,19.21000,18.94000,18.93200,18.91600,18.88200,18.85300,18.82600,18.79900,18.74200,
THB,本行買入,0.84400,0.95740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03400,0.99740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.51420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.64620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.05000,35.67000,35.65800,35.63300,35.58800,35.56900,35.54100,35.51300,35.46500,本行賣出,36.39000,36.07000,36.06300,36.04800,36.00800,36.00100,35.98500,35.96900,35.95300,
KRW,本行買入,0.02082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02472,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.45600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.98100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.46300,4.53500,4.53390,4.53180,4.52800,4.52660,4.52470,4.52200,4.52100,本行賣出,4.62500,4.58500,4.58470,4.58420,4.58070,4.57960,4.57910,4.57860,4.57800,
