幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.23000,31.58000,31.56400,31.51000,31.45200,31.39000,31.32800,31.27400,31.21100,本行賣出,31.90000,31.68000,31.66800,31.61900,31.56800,31.51300,31.45800,31.40900,31.35200,
HKD,本行買入,3.89400,4.02000,4.01800,4.01500,4.01200,4.00900,4.00500,4.00100,3.99600,本行賣出,4.09800,4.08000,4.07900,4.07800,4.07600,4.07200,4.07000,4.06700,4.06400,
GBP,本行買入,40.98000,41.99000,41.95400,41.88200,41.81400,41.74100,41.66600,41.59200,41.51800,本行賣出,43.10000,42.39000,42.36700,42.32100,42.25600,42.18500,42.12300,42.06000,41.99700,
AUD,本行買入,21.97000,22.26000,22.24000,22.20000,22.15800,22.11000,22.06000,22.00700,21.95300,本行賣出,22.75000,22.46000,22.44600,22.41900,22.37900,22.33200,22.28800,22.24100,22.19300,
CAD,本行買入,22.62000,23.02000,23.01000,22.99100,22.98000,22.96600,22.95100,22.93600,22.92100,本行賣出,23.53000,23.22000,23.21800,23.21300,23.20400,23.19100,23.18300,23.17400,23.16600,
SGD,本行買入,24.21000,24.70000,24.69500,24.68500,24.69800,24.70100,24.70400,24.70700,24.71000,本行賣出,25.12000,24.88000,24.88500,24.89400,24.90800,24.91500,24.92500,24.93600,24.94600,
CHF,本行買入,39.56000,40.24000,40.25000,40.27100,40.34100,40.39100,40.44500,40.50000,40.55500,本行賣出,40.76000,40.49000,40.51200,40.55500,40.62700,40.68100,40.74800,40.81500,40.88200,
JPY,本行買入,0.19160,0.19890,0.19890,0.19890,0.19910,0.19920,0.19930,0.19940,0.19940,本行賣出,0.20440,0.20290,0.20300,0.20310,0.20340,0.20350,0.20360,0.20380,0.20400,
ZAR,本行買入,0.00000,1.91100,1.90800,1.90100,1.89300,1.88600,1.87800,1.87000,1.86200,本行賣出,0.00000,1.99100,1.98900,1.98400,1.97600,1.96900,1.96200,1.95500,1.94700,
SEK,本行買入,0.00000,3.39000,3.38900,3.38600,3.38500,3.38400,3.38300,3.38200,3.38100,本行賣出,0.00000,3.49000,3.49000,3.49000,3.49100,3.48900,3.48900,3.48900,3.48900,
NZD,本行買入,18.21000,18.59000,18.58100,18.56400,18.55400,18.53900,18.52300,18.50700,18.49000,本行賣出,19.06000,18.79000,18.78700,18.78000,18.77200,18.75800,18.74700,18.73600,18.72500,
THB,本行買入,0.87200,0.98540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06200,1.02540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.01000,36.63000,36.62100,36.60300,36.58500,36.56800,36.54600,36.52300,36.48700,本行賣出,37.35000,37.03000,37.02800,37.02400,37.01000,36.99800,36.96000,36.98100,36.97300,
KRW,本行買入,0.01977,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02367,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.00400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.52900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.48700,4.55900,4.55870,4.55810,4.55870,4.55810,4.55740,4.55650,4.55600,本行賣出,4.64900,4.60900,4.60950,4.61050,4.61000,4.61010,4.61090,4.61160,4.61240,
