幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.40500,30.75500,30.73700,30.68100,30.61300,30.54800,30.49000,30.42700,30.37200,本行賣出,31.07500,30.85500,30.84000,30.79200,30.73100,30.67500,30.62400,30.56700,30.51800,
HKD,本行買入,3.80700,3.93300,3.93000,3.92400,3.91900,3.91200,3.90600,3.90000,3.89400,本行賣出,4.01100,3.99300,3.99100,3.98800,3.98200,3.97500,3.97100,3.96600,3.96200,
GBP,本行買入,39.93000,40.94000,40.90100,40.82400,40.74000,40.64600,40.55400,40.46100,40.36800,本行賣出,42.05000,41.34000,41.31600,41.26700,41.18100,41.08900,41.01300,40.93700,40.86100,
AUD,本行買入,19.65000,19.94000,19.92200,19.88700,19.85200,19.81500,19.77500,19.73500,19.70100,本行賣出,20.43000,20.14000,20.13100,20.11300,20.07700,20.04100,20.01300,19.98400,19.94800,
CAD,本行買入,21.52000,21.92000,21.91100,21.89200,21.87400,21.86000,21.84000,21.82000,21.80000,本行賣出,22.43000,22.12000,22.11600,22.10900,22.09100,22.07700,22.06700,22.05600,22.04600,
SGD,本行買入,23.14000,23.63000,23.62600,23.61800,23.61900,23.61800,23.61600,23.61400,23.61200,本行賣出,24.05000,23.81000,23.81400,23.82300,23.82400,23.82400,23.83100,23.83800,23.84500,
CHF,本行買入,37.82000,38.50000,38.51000,38.53000,38.57600,38.64300,38.68000,38.71600,38.75300,本行賣出,39.02000,38.75000,38.77500,38.82500,38.87300,38.93900,38.99300,39.04800,39.10200,
JPY,本行買入,0.19280,0.20010,0.20010,0.20020,0.20040,0.20060,0.20070,0.20070,0.20080,本行賣出,0.20560,0.20410,0.20420,0.20440,0.20460,0.20480,0.20500,0.20520,0.20540,
ZAR,本行買入,0.00000,1.73000,1.72700,1.72000,1.71300,1.70500,1.69700,1.68900,1.68200,本行賣出,0.00000,1.81000,1.80800,1.80300,1.79600,1.78800,1.78100,1.77400,1.76700,
SEK,本行買入,0.00000,3.23000,3.22900,3.22700,3.22500,3.22500,3.22300,3.22100,3.21900,本行賣出,0.00000,3.33000,3.33000,3.33100,3.33000,3.32900,3.32800,3.32800,3.32700,
NZD,本行買入,17.23000,17.61000,17.59900,17.57800,17.56000,17.54600,17.52700,17.50900,17.49000,本行賣出,18.08000,17.81000,17.80600,17.79900,17.78100,17.76700,17.75600,17.74500,17.73300,
THB,本行買入,0.81120,0.92460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.00120,0.96460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.92000,35.54000,35.53100,35.51300,35.49000,35.47700,35.45600,35.43400,35.40000,本行賣出,36.26000,35.94000,35.94000,35.93900,35.92300,35.91200,35.90400,35.89500,35.88600,
KRW,本行買入,0.01967,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.26000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.78500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.22600,4.29800,4.29770,4.29720,4.29600,4.29530,4.29390,4.29210,4.29110,本行賣出,4.38800,4.34800,4.34840,4.34920,4.34910,4.34760,4.34760,4.34770,4.34770,
