幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.98000,32.33000,32.31400,32.26300,32.19700,32.12700,32.06700,32.00700,31.94000,本行賣出,32.65000,32.43000,32.41800,32.37200,32.31200,32.24900,32.19700,32.14300,32.08400,
HKD,本行買入,3.97300,4.09900,4.09700,4.09400,4.09100,4.08700,4.08100,4.07500,4.06900,本行賣出,4.17700,4.15900,4.15800,4.15700,4.15400,4.15100,4.14600,4.14200,4.13800,
GBP,本行買入,42.13000,43.14000,43.10600,43.03800,42.96000,42.88500,42.80200,42.71900,42.63600,本行賣出,44.25000,43.54000,43.51800,43.47400,43.40200,43.33100,43.26000,43.18800,43.11700,
AUD,本行買入,22.26000,22.55000,22.52800,22.48500,22.43200,22.38200,22.32800,22.27300,22.22000,本行賣出,23.04000,22.75000,22.73400,22.70300,22.65400,22.60600,22.55700,22.50900,22.46100,
CAD,本行買入,22.48000,22.88000,22.87300,22.86000,22.84700,22.83700,22.82500,22.81300,22.80100,本行賣出,23.39000,23.08000,23.07900,23.07700,23.06700,23.05900,23.05400,23.04800,23.04300,
SGD,本行買入,24.51000,25.00000,24.99800,24.99300,24.99900,25.00700,25.01500,25.02300,25.03100,本行賣出,25.42000,25.18000,25.18700,25.20000,25.21000,25.22100,25.23500,25.25000,25.26400,
CHF,本行買入,39.05000,39.73000,39.74400,39.77200,39.82800,39.88800,39.95000,40.01200,40.07500,本行賣出,40.25000,39.98000,40.00700,40.06000,40.12200,40.18600,40.25800,40.33100,40.40500,
JPY,本行買入,0.18950,0.19680,0.19680,0.19680,0.19690,0.19700,0.19710,0.19720,0.19730,本行賣出,0.20230,0.20080,0.20090,0.20110,0.20120,0.20130,0.20150,0.20170,0.20190,
ZAR,本行買入,0.00000,1.92200,1.91900,1.91200,1.90400,1.89600,1.88700,1.87900,1.87100,本行賣出,0.00000,2.00200,1.99900,1.99400,1.98600,1.97900,1.97100,1.96300,1.95500,
SEK,本行買入,0.00000,3.29000,3.28900,3.28800,3.28700,3.28700,3.28600,3.28500,3.28500,本行賣出,0.00000,3.39000,3.39000,3.39100,3.39100,3.39000,3.39100,3.39100,3.39200,
NZD,本行買入,18.36000,18.74000,18.73000,18.71100,18.69700,18.68100,18.66200,18.64300,18.62300,本行賣出,19.21000,18.94000,18.93900,18.93800,18.92600,18.91100,18.89700,18.88300,18.87000,
THB,本行買入,0.82970,0.94310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.01970,0.98310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.13000,36.75000,36.74000,36.72100,36.69400,36.66300,36.63700,36.61100,36.56800,本行賣出,37.47000,37.15000,37.14600,37.13700,37.11500,37.09300,37.07900,37.06500,37.05100,
KRW,本行買入,0.02014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02404,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.89600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.42100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.68200,4.75400,4.75420,4.75470,4.75560,4.75640,4.75780,4.75970,4.76070,本行賣出,4.84400,4.80400,4.80440,4.80520,4.80610,4.80660,4.80930,4.81200,4.81470,
