幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.07000,31.42000,31.39900,31.34100,31.26600,31.21800,31.14600,31.08800,31.02500,本行賣出,31.74000,31.52000,31.50300,31.44900,31.38500,31.34300,31.27900,31.22800,31.17200,
HKD,本行買入,3.89000,4.01600,4.01400,4.00900,4.00400,3.99900,3.99300,3.98700,3.98000,本行賣出,4.09400,4.07600,4.07400,4.07100,4.06600,4.06200,4.05700,4.05200,4.04700,
GBP,本行買入,40.90000,41.91000,41.87200,41.79500,41.70700,41.62600,41.53600,41.44600,41.35600,本行賣出,43.02000,42.31000,42.28800,42.24300,42.15500,42.07700,42.00100,41.92500,41.84900,
AUD,本行買入,20.50000,20.79000,20.77200,20.73600,20.69400,20.65600,20.61200,20.56700,20.52100,本行賣出,21.28000,20.99000,20.98200,20.96500,20.92500,20.88700,20.85100,20.81200,20.77400,
CAD,本行買入,22.36000,22.76000,22.75400,22.74100,22.72500,22.71000,22.69000,22.66900,22.64900,本行賣出,23.27000,22.96000,22.95800,22.95500,22.94100,22.92600,22.91400,22.90300,22.89100,
SGD,本行買入,23.82000,24.31000,24.30600,24.29900,24.29900,24.30000,24.29300,24.28700,24.28100,本行賣出,24.73000,24.49000,24.49500,24.50500,24.50800,24.50800,24.51200,24.51500,24.51900,
CHF,本行買入,38.69000,39.37000,39.39000,39.42900,39.46600,39.50800,39.54700,39.58800,39.62800,本行賣出,39.89000,39.62000,39.64900,39.70600,39.74400,39.78700,39.84300,39.89900,39.95600,
JPY,本行買入,0.19390,0.20120,0.20120,0.20130,0.20130,0.20150,0.20160,0.20160,0.20170,本行賣出,0.20670,0.20520,0.20530,0.20550,0.20550,0.20580,0.20590,0.20610,0.20620,
ZAR,本行買入,0.00000,1.83200,1.82900,1.82300,1.81400,1.80700,1.79900,1.79100,1.78300,本行賣出,0.00000,1.91200,1.91000,1.90500,1.89700,1.89000,1.88200,1.87500,1.86700,
SEK,本行買入,0.00000,3.34000,3.33900,3.33700,3.33600,3.33400,3.33200,3.33000,3.32700,本行賣出,0.00000,3.44000,3.44000,3.44100,3.44000,3.43900,3.43800,3.43700,3.43500,
NZD,本行買入,17.74000,18.12000,18.11100,18.09400,18.07600,18.06100,18.04200,18.02300,18.00400,本行賣出,18.59000,18.32000,18.32000,18.31900,18.30200,18.28800,18.27500,18.26200,18.24900,
THB,本行買入,0.87040,0.98380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06040,1.02380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.17000,36.79000,36.77800,36.75500,36.71600,36.70900,36.68100,36.65200,36.60600,本行賣出,37.51000,37.19000,37.18600,37.17700,37.14900,37.14900,37.13600,37.12200,37.10800,
KRW,本行買入,0.01960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.67600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.20100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.37400,4.44600,4.44480,4.44230,4.44080,4.43960,4.43760,4.43490,4.43370,本行賣出,4.53600,4.49600,4.49600,4.49590,4.49520,4.49440,4.49410,4.49380,4.49340,
