幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.57000,29.92000,29.89900,29.82700,29.75300,29.66700,29.58000,29.50700,29.42800,本行賣出,30.24000,30.02000,30.00500,29.94400,29.87800,29.80400,29.73000,29.66700,29.59900,
HKD,本行買入,3.66400,3.79000,3.79000,3.79100,3.79200,3.79100,3.78500,3.77900,3.77400,本行賣出,3.86800,3.85000,3.85200,3.85500,3.85500,3.85400,3.85000,3.84600,3.84200,
GBP,本行買入,39.41000,40.42000,40.37800,40.29400,40.18500,40.08900,39.98300,39.87800,39.77300,本行賣出,41.53000,40.82000,40.79600,40.74700,40.64100,40.54900,40.45900,40.37000,40.28100,
AUD,本行買入,19.03000,19.32000,19.30200,19.26600,19.22100,19.18300,19.14200,19.10200,19.06000,本行賣出,19.81000,19.52000,19.51000,19.49000,19.44700,19.41000,19.37700,19.34400,19.31100,
CAD,本行買入,21.41000,21.81000,21.79900,21.77600,21.74800,21.72800,21.70100,21.67300,21.64600,本行賣出,22.32000,22.01000,22.00600,21.99900,21.97100,21.95100,21.93500,21.91800,21.90200,
SGD,本行買入,22.74000,23.23000,23.22000,23.19900,23.17800,23.16600,23.14800,23.13000,23.11100,本行賣出,23.65000,23.41000,23.40900,23.40700,23.39200,23.37600,23.36800,23.35900,23.35100,
CHF,本行買入,35.82000,36.50000,36.50500,36.51400,36.56100,36.60200,36.63900,36.67600,36.71400,本行賣出,37.02000,36.75000,36.77100,36.81300,36.86500,36.90600,36.95900,37.01200,37.06600,
JPY,本行買入,0.20040,0.20770,0.20770,0.20780,0.20790,0.20810,0.20820,0.20830,0.20830,本行賣出,0.21320,0.21170,0.21180,0.21200,0.21210,0.21240,0.21260,0.21280,0.21300,
ZAR,本行買入,0.00000,1.63400,1.63100,1.62500,1.61600,1.60900,1.60000,1.59200,1.58400,本行賣出,0.00000,1.71400,1.71200,1.70700,1.69900,1.69100,1.68400,1.67600,1.66900,
SEK,本行買入,0.00000,3.11000,3.10900,3.10600,3.10300,3.10100,3.09800,3.09500,3.09200,本行賣出,0.00000,3.21000,3.21000,3.20900,3.20700,3.20500,3.20400,3.20200,3.20100,
NZD,本行買入,17.57000,17.95000,17.93700,17.91000,17.87900,17.85400,17.82300,17.79200,17.76100,本行賣出,18.42000,18.15000,18.14500,18.13400,18.10500,18.07900,18.05600,18.03300,18.00900,
THB,本行買入,0.79230,0.90570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.98230,0.94570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.42000,34.04000,34.02800,34.00500,33.98000,33.95900,33.93500,33.91100,33.87000,本行賣出,34.76000,34.44000,34.43800,34.43300,34.41400,34.40100,34.39300,34.38600,34.37800,
KRW,本行買入,0.02010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.01500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.54000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.06200,4.13400,4.13280,4.13030,4.12890,4.12760,4.12560,4.12290,4.12170,本行賣出,4.22400,4.18400,4.18420,4.18470,4.18380,4.18290,4.18300,4.18300,4.18310,
