幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.45500,31.80500,31.78900,31.73800,31.67000,31.61100,31.55100,31.49100,31.43800,本行賣出,32.12500,31.90500,31.89300,31.84600,31.78700,31.73500,31.68300,31.63200,31.58200,
HKD,本行買入,3.91400,4.04000,4.03800,4.03500,4.03200,4.02900,4.02500,4.02100,4.01600,本行賣出,4.11800,4.10000,4.09900,4.09800,4.09600,4.09200,4.09000,4.08700,4.08400,
GBP,本行買入,41.48000,42.49000,42.45400,42.38200,42.31400,42.24100,42.16600,42.09200,42.01800,本行賣出,43.60000,42.89000,42.86700,42.82100,42.75600,42.68500,42.62300,42.56000,42.49700,
AUD,本行買入,22.35000,22.64000,22.62000,22.58000,22.53800,22.49000,22.44000,22.38700,22.33300,本行賣出,23.13000,22.84000,22.82600,22.79900,22.75900,22.71200,22.66800,22.62100,22.57300,
CAD,本行買入,22.95000,23.35000,23.34000,23.32100,23.31000,23.29600,23.28100,23.26600,23.25100,本行賣出,23.86000,23.55000,23.54800,23.54300,23.53400,23.52100,23.51300,23.50400,23.49600,
SGD,本行買入,24.41000,24.90000,24.89500,24.88500,24.89800,24.90100,24.90400,24.90700,24.91000,本行賣出,25.32000,25.08000,25.08500,25.09400,25.10800,25.11500,25.12500,25.13600,25.14600,
CHF,本行買入,39.94000,40.62000,40.63000,40.65100,40.72100,40.77100,40.82500,40.88000,40.93500,本行賣出,41.14000,40.87000,40.89200,40.93500,41.00700,41.06100,41.12800,41.19500,41.26200,
JPY,本行買入,0.19140,0.19870,0.19870,0.19870,0.19890,0.19900,0.19910,0.19920,0.19930,本行賣出,0.20420,0.20270,0.20280,0.20300,0.20320,0.20330,0.20350,0.20370,0.20390,
ZAR,本行買入,0.00000,1.88300,1.88000,1.87300,1.86500,1.85800,1.85000,1.84200,1.83400,本行賣出,0.00000,1.96300,1.96100,1.95600,1.94800,1.94100,1.93400,1.92700,1.91900,
SEK,本行買入,0.00000,3.40000,3.39900,3.39600,3.39500,3.39400,3.39300,3.39200,3.39100,本行賣出,0.00000,3.50000,3.50000,3.50000,3.50100,3.49900,3.49900,3.49900,3.49900,
NZD,本行買入,18.34000,18.72000,18.71100,18.69400,18.68400,18.66900,18.65300,18.63700,18.62000,本行賣出,19.19000,18.92000,18.91700,18.91000,18.90200,18.88800,18.87700,18.86600,18.85500,
THB,本行買入,0.87450,0.98790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06450,1.02790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.99000,36.61000,36.60100,36.58200,36.56000,36.54300,36.51700,36.49100,36.45000,本行賣出,37.33000,37.01000,37.00900,37.00700,36.99100,36.98200,36.97000,36.95700,36.94400,
KRW,本行買入,0.01985,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02375,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.08200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.60700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.53600,4.60800,4.60780,4.60740,4.60650,4.60740,4.60710,4.60680,4.60670,本行賣出,4.69800,4.65800,4.65830,4.65900,4.65950,4.65950,4.66060,4.66180,4.66290,
