幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.05000,31.40000,31.38400,31.34100,31.27300,31.21600,31.15700,31.10000,31.04900,本行賣出,31.72000,31.50000,31.48700,31.45000,31.39000,31.33900,31.28700,31.23600,31.19000,
HKD,本行買入,3.86700,3.99300,3.99100,3.98800,3.98400,3.98000,3.97500,3.97000,3.96500,本行賣出,4.07100,4.05300,4.05200,4.05100,4.04600,4.04300,4.03900,4.03600,4.03200,
GBP,本行買入,41.35000,42.36000,42.32600,42.25700,42.16100,42.08400,42.00200,41.92000,41.83800,本行賣出,43.47000,42.76000,42.74200,42.70500,42.61000,42.53900,42.47100,42.40300,42.33500,
AUD,本行買入,21.88000,22.17000,22.15300,22.11800,22.06700,22.02500,21.97700,21.92700,21.87400,本行賣出,22.66000,22.37000,22.36100,22.34200,22.29100,22.25300,22.21200,22.16800,22.12300,
CAD,本行買入,22.51000,22.91000,22.90100,22.88400,22.86400,22.85400,22.83800,22.82200,22.80600,本行賣出,23.42000,23.11000,23.10900,23.10800,23.08900,23.08300,23.07500,23.06700,23.05900,
SGD,本行買入,24.30000,24.79000,24.78600,24.77900,24.78300,24.78600,24.78700,24.78800,24.79000,本行賣出,25.21000,24.97000,24.97600,24.98800,24.99200,25.00000,25.00900,25.01900,25.02800,
CHF,本行買入,39.92000,40.60000,40.60700,40.62200,40.68500,40.73300,40.78400,40.83600,40.88800,本行賣出,41.12000,40.85000,40.87600,40.92700,40.99100,41.04700,41.11100,41.17600,41.24100,
JPY,本行買入,0.19430,0.20160,0.20160,0.20160,0.20180,0.20190,0.20200,0.20210,0.20210,本行賣出,0.20710,0.20560,0.20570,0.20580,0.20600,0.20610,0.20630,0.20650,0.20670,
ZAR,本行買入,0.00000,1.92700,1.92400,1.91800,1.90900,1.90200,1.89300,1.88500,1.87700,本行賣出,0.00000,2.00700,2.00500,2.00100,1.99200,1.98500,1.97700,1.97000,1.96300,
SEK,本行買入,0.00000,3.44000,3.43900,3.43700,3.43500,3.43400,3.43200,3.43000,3.42800,本行賣出,0.00000,3.54000,3.54000,3.54100,3.53900,3.53900,3.53800,3.53800,3.53800,
NZD,本行買入,18.34000,18.72000,18.71100,18.69300,18.67600,18.66200,18.64400,18.62500,18.60700,本行賣出,19.19000,18.92000,18.92000,18.91900,18.90200,18.89000,18.87900,18.86700,18.85500,
THB,本行買入,0.88610,0.99950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07610,1.03950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.48050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.61250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.37000,36.99000,36.98200,36.96500,36.94100,36.92400,36.90300,36.88100,36.84600,本行賣出,37.71000,37.39000,37.38900,37.38700,37.37200,37.36200,37.35600,37.34900,37.34300,
KRW,本行買入,0.02010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.06800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.59300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.47000,4.54200,4.54170,4.54110,4.54060,4.54020,4.53900,4.53750,4.53660,本行賣出,4.63200,4.59200,4.59250,4.59340,4.59360,4.59350,4.59400,4.59460,4.59510,
