幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.96000,30.31000,30.29100,30.22900,30.16700,30.10000,30.03200,29.99900,29.92000,本行賣出,30.63000,30.41000,30.39600,30.34000,30.28500,30.22600,30.16600,30.11900,30.06600,
HKD,本行買入,3.74500,3.87100,3.86800,3.86200,3.85700,3.85000,3.84400,3.83800,3.83200,本行賣出,3.94900,3.93100,3.92900,3.92600,3.92000,3.91300,3.90900,3.90400,3.90000,
GBP,本行買入,39.68000,40.69000,40.65100,40.57400,40.49000,40.39600,40.30400,40.21100,40.11800,本行賣出,41.80000,41.09000,41.06600,41.01700,40.93100,40.83900,40.76300,40.68700,40.61100,
AUD,本行買入,19.67000,19.96000,19.94200,19.90700,19.87200,19.83500,19.79500,19.75500,19.72100,本行賣出,20.45000,20.16000,20.15100,20.13300,20.09700,20.06100,20.03300,20.00400,19.96800,
CAD,本行買入,21.25000,21.65000,21.64100,21.62200,21.60400,21.59000,21.57000,21.55000,21.53000,本行賣出,22.16000,21.85000,21.84600,21.83900,21.82100,21.80700,21.79700,21.78600,21.77600,
SGD,本行買入,22.98000,23.47000,23.46600,23.45800,23.45900,23.45800,23.45600,23.45400,23.45200,本行賣出,23.89000,23.65000,23.65400,23.66300,23.66400,23.66400,23.67100,23.67800,23.68500,
CHF,本行買入,37.27000,37.95000,37.96000,37.98000,38.02600,38.09300,38.13000,38.16600,38.20300,本行賣出,38.47000,38.20000,38.22500,38.27500,38.32300,38.38900,38.44300,38.49800,38.55200,
JPY,本行買入,0.19670,0.20400,0.20400,0.20410,0.20420,0.20440,0.20450,0.20460,0.20470,本行賣出,0.20950,0.20800,0.20810,0.20830,0.20850,0.20870,0.20890,0.20910,0.20930,
ZAR,本行買入,0.00000,1.72100,1.71800,1.71100,1.70400,1.69600,1.68800,1.68000,1.67300,本行賣出,0.00000,1.80100,1.79900,1.79400,1.78700,1.77900,1.77200,1.76500,1.75800,
SEK,本行買入,0.00000,3.19000,3.18900,3.18700,3.18500,3.18500,3.18300,3.18100,3.17900,本行賣出,0.00000,3.29000,3.29000,3.29100,3.29000,3.28900,3.28800,3.28800,3.28700,
NZD,本行買入,17.23000,17.61000,17.59900,17.57800,17.56000,17.54600,17.52700,17.50900,17.49000,本行賣出,18.08000,17.81000,17.80600,17.79900,17.78100,17.76700,17.75600,17.74500,17.73300,
THB,本行買入,0.80920,0.92260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.99920,0.96260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.45880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.81000,35.43000,35.41800,35.39500,35.37800,35.35900,35.33700,35.31500,35.28000,本行賣出,36.15000,35.83000,35.82800,35.82500,35.81600,35.80500,35.79400,35.78200,35.77100,
KRW,本行買入,0.01986,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02376,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.18500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.71000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.15800,4.23000,4.22900,4.22700,4.22680,4.22660,4.22500,4.22290,4.22180,本行賣出,4.32000,4.28000,4.28020,4.28050,4.28070,4.28060,4.28030,4.28000,4.27970,
