幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.01500,29.36500,29.34500,29.28100,29.20100,29.12200,29.04800,28.97700,28.90400,本行賣出,29.68500,29.46500,29.45100,29.39700,29.32800,29.26100,29.20300,29.14400,29.08000,
HKD,本行買入,3.59100,3.71700,3.71700,3.71800,3.71700,3.71500,3.71000,3.70500,3.70000,本行賣出,3.79500,3.77700,3.77900,3.78200,3.78200,3.78000,3.77700,3.77300,3.77000,
GBP,本行買入,38.22000,39.23000,39.18700,39.10100,39.01100,38.92400,38.82900,38.73300,38.63800,本行賣出,40.34000,39.63000,39.60800,39.56300,39.48000,39.39500,39.31500,39.23500,39.15400,
AUD,本行買入,18.81000,19.10000,19.08200,19.04700,19.01200,18.97900,18.94400,18.90800,18.87200,本行賣出,19.59000,19.30000,19.29300,19.27800,19.24600,19.21400,19.18600,19.15700,19.12800,
CAD,本行買入,20.95000,21.35000,21.33800,21.31500,21.29200,21.27300,21.25000,21.22700,21.20400,本行賣出,21.86000,21.55000,21.54900,21.54600,21.52700,21.51000,21.49500,21.47900,21.46400,
SGD,本行買入,22.33000,22.82000,22.81200,22.79500,22.78500,22.77600,22.76400,22.75300,22.74100,本行賣出,23.24000,23.00000,23.00400,23.01300,23.00700,23.00000,22.99700,22.99300,22.99000,
CHF,本行買入,35.90000,36.58000,36.58900,36.60600,36.64600,36.69300,36.73800,36.78300,36.82800,本行賣出,37.10000,36.83000,36.85900,36.91700,36.96400,37.01300,37.07200,37.13100,37.19000,
JPY,本行買入,0.18840,0.19570,0.19570,0.19580,0.19600,0.19610,0.19630,0.19640,0.19660,本行賣出,0.20120,0.19970,0.19980,0.20000,0.20030,0.20050,0.20070,0.20100,0.20120,
ZAR,本行買入,0.00000,1.60000,1.59700,1.59000,1.58300,1.57600,1.56800,1.56000,1.55200,本行賣出,0.00000,1.68000,1.67800,1.67300,1.66600,1.65900,1.65100,1.64400,1.63700,
SEK,本行買入,0.00000,2.98000,2.97900,2.97600,2.97400,2.97300,2.97100,2.97000,2.96800,本行賣出,0.00000,3.08000,3.08000,3.08100,3.08000,3.07900,3.07900,3.07800,3.07800,
NZD,本行買入,17.02000,17.40000,17.38600,17.35700,17.33000,17.30600,17.27800,17.24900,17.22100,本行賣出,17.87000,17.60000,17.59600,17.58900,17.56600,17.54200,17.52100,17.49900,17.47700,
THB,本行買入,0.77700,0.89040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.96700,0.93040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.44950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.58150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.37000,33.99000,33.97900,33.95700,33.93200,33.92000,33.90200,33.88400,33.85300,本行賣出,34.71000,34.39000,34.39000,34.39100,34.37700,34.36900,34.36700,34.36500,34.36300,
KRW,本行買入,0.01947,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02337,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.90000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.42500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,3.99800,4.07000,4.06910,4.06720,4.06560,4.06480,4.06340,4.06140,4.06060,本行賣出,4.16000,4.12000,4.12020,4.12070,4.12010,4.11960,4.11960,4.11970,4.11970,
