幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.71000,30.06000,30.04100,29.97600,29.90300,29.82900,29.75700,29.69000,29.61900,本行賣出,30.38000,30.16000,30.14400,30.08600,30.02300,29.95900,29.89700,29.84000,29.77700,
HKD,本行買入,3.70300,3.82900,3.82900,3.82900,3.82800,3.82700,3.82300,3.81900,3.81500,本行賣出,3.90700,3.88900,3.89000,3.89300,3.89200,3.89200,3.88900,3.88600,3.88300,
GBP,本行買入,39.52000,40.53000,40.49100,40.41400,40.31700,40.24000,40.15500,40.07000,39.98500,本行賣出,41.64000,40.93000,40.91000,40.87100,40.78300,40.71100,40.63900,40.56700,40.49500,
AUD,本行買入,19.14000,19.43000,19.41400,19.38200,19.34000,19.31000,19.27700,19.24500,19.21100,本行賣出,19.92000,19.63000,19.62100,19.60400,19.56700,19.53700,19.50900,19.48200,19.45500,
CAD,本行買入,21.30000,21.70000,21.68800,21.66400,21.63600,21.62200,21.60100,21.58000,21.55900,本行賣出,22.21000,21.90000,21.89800,21.89400,21.87000,21.85900,21.84400,21.82900,21.81500,
SGD,本行買入,22.89000,23.38000,23.37300,23.35800,23.35000,23.35000,23.34700,23.34300,23.34000,本行賣出,23.80000,23.56000,23.56500,23.57400,23.57000,23.57100,23.57400,23.57700,23.58100,
CHF,本行買入,36.54000,37.22000,37.22700,37.24000,37.28200,37.33700,37.38700,37.43700,37.48800,本行賣出,37.74000,37.47000,37.49700,37.55100,37.60100,37.65700,37.71800,37.77900,37.84000,
JPY,本行買入,0.19450,0.20180,0.20180,0.20190,0.20200,0.20220,0.20230,0.20240,0.20250,本行賣出,0.20730,0.20580,0.20590,0.20610,0.20630,0.20650,0.20670,0.20690,0.20710,
ZAR,本行買入,0.00000,1.66700,1.66400,1.65800,1.65000,1.64300,1.63500,1.62700,1.62000,本行賣出,0.00000,1.74700,1.74500,1.74000,1.73300,1.72600,1.71800,1.71100,1.70400,
SEK,本行買入,0.00000,3.11000,3.10900,3.10600,3.10400,3.10300,3.10200,3.10100,3.09900,本行賣出,0.00000,3.21000,3.21000,3.21100,3.20900,3.20900,3.20800,3.20800,3.20800,
NZD,本行買入,17.35000,17.73000,17.71700,17.69000,17.66200,17.64200,17.61900,17.59500,17.57200,本行賣出,18.20000,17.93000,17.92700,17.92000,17.89600,17.87700,17.85800,17.84000,17.82100,
THB,本行買入,0.79790,0.91130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.98790,0.95130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.36000,34.98000,34.97100,34.95200,34.93300,34.91600,34.89400,34.87200,34.83700,本行賣出,35.70000,35.38000,35.37800,35.37400,35.35900,35.34800,35.34200,35.33600,35.32900,
KRW,本行買入,0.01993,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02383,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00133,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.10300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.62800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.09300,4.16500,4.16420,4.16250,4.16200,4.16090,4.15920,4.15680,4.15560,本行賣出,4.25500,4.21500,4.21510,4.21540,4.21510,4.21440,4.21440,4.21440,4.21450,
