幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.29000,31.64000,31.62400,31.57500,31.51000,31.45000,31.39100,31.33100,31.27600,本行賣出,31.96000,31.74000,31.72800,31.68400,31.62600,31.57300,31.52100,31.46800,31.41800,
HKD,本行買入,3.89600,4.02200,4.02000,4.01700,4.01400,4.01100,4.00700,4.00300,3.99800,本行賣出,4.10000,4.08200,4.08100,4.08000,4.07800,4.07400,4.07200,4.06900,4.06600,
GBP,本行買入,41.06000,42.07000,42.03400,41.96200,41.89400,41.82100,41.74600,41.67200,41.59800,本行賣出,43.18000,42.47000,42.44700,42.40100,42.33600,42.26500,42.20300,42.14000,42.07700,
AUD,本行買入,21.88000,22.17000,22.15000,22.11000,22.06800,22.02000,21.97000,21.91700,21.86300,本行賣出,22.66000,22.37000,22.35600,22.32900,22.28900,22.24200,22.19800,22.15100,22.10300,
CAD,本行買入,22.72000,23.12000,23.11000,23.09100,23.08000,23.06600,23.05100,23.03600,23.02100,本行賣出,23.63000,23.32000,23.31800,23.31300,23.30400,23.29100,23.28300,23.27400,23.26600,
SGD,本行買入,24.23000,24.72000,24.71500,24.70500,24.71800,24.72100,24.72400,24.72700,24.73000,本行賣出,25.14000,24.90000,24.90500,24.91400,24.92800,24.93500,24.94500,24.95600,24.96600,
CHF,本行買入,39.77000,40.45000,40.46000,40.48100,40.55100,40.60100,40.65500,40.71000,40.76500,本行賣出,40.97000,40.70000,40.72200,40.76500,40.83700,40.89100,40.95800,41.02500,41.09200,
JPY,本行買入,0.19220,0.19950,0.19950,0.19950,0.19970,0.19980,0.19990,0.20000,0.20000,本行賣出,0.20500,0.20350,0.20360,0.20370,0.20400,0.20410,0.20420,0.20440,0.20460,
ZAR,本行買入,0.00000,1.88300,1.88000,1.87300,1.86500,1.85800,1.85000,1.84200,1.83400,本行賣出,0.00000,1.96300,1.96100,1.95600,1.94800,1.94100,1.93400,1.92700,1.91900,
SEK,本行買入,0.00000,3.39000,3.38900,3.38600,3.38500,3.38400,3.38300,3.38200,3.38100,本行賣出,0.00000,3.49000,3.49000,3.49000,3.49100,3.48900,3.48900,3.48900,3.48900,
NZD,本行買入,18.28000,18.66000,18.65100,18.63400,18.62400,18.60900,18.59300,18.57700,18.56000,本行賣出,19.13000,18.86000,18.85700,18.85000,18.84200,18.82800,18.81700,18.80600,18.79500,
THB,本行買入,0.87230,0.98570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.06230,1.02570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,35.95000,36.57000,36.56200,36.54600,36.52700,36.50900,36.48700,36.46500,36.43100,本行賣出,37.29000,36.97000,36.96900,36.96700,36.95300,36.94200,36.93300,36.92400,36.91500,
KRW,本行買入,0.01988,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02378,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.01100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.53600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.49600,4.56800,4.56810,4.56840,4.56790,4.56780,4.56770,4.56740,4.56730,本行賣出,4.65800,4.61800,4.61850,4.61940,4.62020,4.62030,4.62110,4.62200,4.62280,
