幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.04500,31.39500,31.37900,31.33500,31.27100,31.20600,31.15400,31.09800,31.04100,本行賣出,31.71500,31.49500,31.48300,31.44400,31.38700,31.32900,31.28400,31.23400,31.18200,
HKD,本行買入,3.86600,3.99200,3.99000,3.98700,3.98300,3.97900,3.97400,3.96900,3.96400,本行賣出,4.07000,4.05200,4.05100,4.05000,4.04500,4.04200,4.03800,4.03500,4.03100,
GBP,本行買入,41.68000,42.69000,42.65600,42.58700,42.49100,42.41400,42.33200,42.25000,42.16800,本行賣出,43.80000,43.09000,43.07200,43.03500,42.94000,42.86900,42.80100,42.73300,42.66500,
AUD,本行買入,22.00000,22.29000,22.27300,22.23800,22.18700,22.14500,22.09700,22.04700,21.99400,本行賣出,22.78000,22.49000,22.48100,22.46200,22.41100,22.37300,22.33200,22.28800,22.24300,
CAD,本行買入,22.66000,23.06000,23.05100,23.03400,23.01400,23.00400,22.98800,22.97200,22.95600,本行賣出,23.57000,23.26000,23.25900,23.25800,23.23900,23.23300,23.22500,23.21700,23.20900,
SGD,本行買入,24.34000,24.83000,24.82600,24.81900,24.82300,24.82600,24.82700,24.82800,24.83000,本行賣出,25.25000,25.01000,25.01600,25.02800,25.03200,25.04000,25.04900,25.05900,25.06800,
CHF,本行買入,39.97000,40.65000,40.65700,40.67200,40.73500,40.78300,40.83400,40.88600,40.93800,本行賣出,41.17000,40.90000,40.92600,40.97700,41.04100,41.09700,41.16100,41.22600,41.29100,
JPY,本行買入,0.19630,0.20360,0.20360,0.20360,0.20370,0.20390,0.20390,0.20400,0.20410,本行賣出,0.20910,0.20760,0.20770,0.20780,0.20800,0.20810,0.20830,0.20850,0.20860,
ZAR,本行買入,0.00000,1.94100,1.93800,1.93200,1.92300,1.91600,1.90700,1.89900,1.89100,本行賣出,0.00000,2.02100,2.01900,2.01500,2.00600,1.99900,1.99100,1.98400,1.97700,
SEK,本行買入,0.00000,3.50000,3.49900,3.49700,3.49500,3.49400,3.49200,3.49000,3.48800,本行賣出,0.00000,3.60000,3.60000,3.60100,3.59900,3.59900,3.59800,3.59800,3.59800,
NZD,本行買入,18.58000,18.96000,18.95100,18.93300,18.91600,18.90200,18.88400,18.86500,18.84700,本行賣出,19.43000,19.16000,19.16000,19.15900,19.14200,19.13000,19.11900,19.10700,19.09500,
THB,本行買入,0.88480,0.99820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07480,1.03820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.47520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.60720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,36.53000,37.15000,37.14000,37.12100,37.09800,37.07800,37.05700,37.03600,37.00100,本行賣出,37.87000,37.55000,37.54900,37.54700,37.53100,37.51400,37.50700,37.50000,37.49300,
KRW,本行買入,0.02010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,7.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.54500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.46000,4.53200,4.53160,4.53080,4.53030,4.52960,4.52850,4.52710,4.52630,本行賣出,4.62200,4.58200,4.58230,4.58290,4.58280,4.58180,4.58220,4.58250,4.58280,
