幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.35500,32.70500,32.68200,32.62000,32.52200,32.44300,32.35300,32.26300,32.18000,本行賣出,33.02500,32.80500,32.78800,32.73600,32.65200,32.58000,32.50100,32.42500,32.35500,
HKD,本行買入,4.04900,4.17500,4.17200,4.16600,4.15700,4.15000,4.14100,4.13200,4.12300,本行賣出,4.25300,4.23500,4.23300,4.22900,4.22000,4.21300,4.20500,4.19700,4.19000,
GBP,本行買入,39.56000,40.57000,40.52800,40.44500,40.32900,40.22900,40.12100,40.01300,39.90500,本行賣出,41.68000,40.97000,40.94400,40.89200,40.77400,40.67700,40.58200,40.48600,40.39000,
AUD,本行買入,20.20000,20.49000,20.45100,20.37400,20.31900,20.27400,20.22400,20.17500,20.12400,本行賣出,20.98000,20.69000,20.69700,20.71200,20.65600,20.61300,20.56800,20.52500,20.48100,
CAD,本行買入,22.40000,22.80000,22.78800,22.76300,22.72600,22.70200,22.67100,22.63900,22.60700,本行賣出,23.31000,23.00000,22.99500,22.98500,22.94700,22.92600,22.90100,22.87700,22.85300,
SGD,本行買入,23.68000,24.17000,24.15600,24.12700,24.08500,24.06100,24.02800,23.99500,23.96200,本行賣出,24.59000,24.35000,24.34600,24.33800,24.29700,24.27200,24.24700,24.22100,24.19500,
CHF,本行買入,35.32000,36.00000,36.00600,36.01700,36.02900,36.07600,36.10700,36.13800,36.16900,本行賣出,36.52000,36.25000,36.27200,36.31500,36.32800,36.37700,36.41900,36.46200,36.50400,
JPY,本行買入,0.20640,0.21370,0.21370,0.21380,0.21400,0.21410,0.21420,0.21440,0.21450,本行賣出,0.21920,0.21770,0.21780,0.21800,0.21830,0.21840,0.21870,0.21890,0.21920,
ZAR,本行買入,0.00000,1.73600,1.73300,1.72600,1.71700,1.70800,1.69900,1.69000,1.68100,本行賣出,0.00000,1.81600,1.81300,1.80800,1.79900,1.79000,1.78200,1.77300,1.76500,
SEK,本行買入,0.00000,2.96000,2.95900,2.95700,2.95300,2.95200,2.94900,2.94700,2.94400,本行賣出,0.00000,3.06000,3.06000,3.06000,3.05700,3.05600,3.05400,3.05200,3.05000,
NZD,本行買入,18.12000,18.50000,18.46700,18.40200,18.35900,18.32700,18.29300,18.25800,18.22200,本行賣出,18.97000,18.70000,18.70700,18.72200,18.67900,18.64800,18.61800,18.58900,18.55900,
THB,本行買入,0.84450,0.95790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03450,0.99790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.49880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.21000,33.83000,33.81200,33.77700,33.73600,33.70700,33.67900,33.65100,33.60100,本行賣出,34.55000,34.23000,34.22600,34.21700,34.18400,34.16200,34.14700,34.13100,34.11500,
KRW,本行買入,0.02090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.36000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.88500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.39500,4.46700,4.46450,4.45960,4.45380,4.44830,4.44400,4.43770,4.43540,本行賣出,4.55700,4.51700,4.51630,4.51500,4.51050,4.50610,4.50360,4.50100,4.49850,
